panel	reading_mode	representation	target_loci	descriptor_tokens	positive_cells	baseline_bits	held_bits	gain_bits	selector_paid_gain_bits	positive_gain_folios	min_folio_gain	max_folio_gain	local_permutation_p	max_representation_p
ALL_GDT095_TOKENS	AVERAGED	RAW_CHAR3	44	19	137	403.306290058	424.094661246	-20.7883711881	-23.7883711881	1	-11.8305952195	2.59487075328	0.331866813319	0.399060093991
ALL_GDT095_TOKENS	AVERAGED	RESIDUAL_HOST_CHAR3	44	19	137	403.306290058	427.131600663	-23.825310605	-26.825310605	1	-12.6430823728	8.31086336364	0.29897010299	0.399060093991
ALL_GDT095_TOKENS	AVERAGED	PAGE_HOST_PLUS_COMPILER_ACTIVE	44	19	137	403.306290058	427.537431543	-24.2311414853	-27.2311414853	1	-11.8396263037	4.36113433118	0.308369163084	0.399060093991
ALL_GDT095_TOKENS	AVERAGED	PAGE_HOST_CHAR3	44	19	137	403.306290058	435.032750176	-31.7264601179	-34.7264601179	1	-19.358696158	9.43042352795	0.305869413059	0.399060093991
ALL_GDT095_TOKENS	AVERAGED	EDGE_STRIPPED_CHAR3	44	19	137	403.306290058	440.57130002	-37.2650099624	-40.2650099624	1	-12.8170254551	1.205310318	0.442655734427	0.399060093991
ALL_GDT095_TOKENS	AVERAGED	COMPILER_ACTIVE	44	19	137	403.306290058	452.206498524	-48.9002084664	-51.9002084664	0	-21.8564510662	-1.26481977795	0.04499550045	0.399060093991
ALL_GDT095_TOKENS	AVERAGED	STA_FAMILY_CHAR3	44	19	137	403.306290058	459.905455262	-56.5991652039	-59.5991652039	1	-21.232042119	2.72156726075	0.177882211779	0.399060093991
ALL_GDT095_TOKENS	AVERAGED	EDGE_ONLY	44	19	137	403.306290058	506.60015355	-103.293863492	-106.293863492	0	-30.894506873	-0.0488569340526	0.433756624338	0.399060093991
ALL_GDT095_TOKENS	IT2a	RAW_CHAR3	44	19	137	403.306290058	434.701339217	-31.3950491594	NOT_PRIMARY	1	-11.4553531736	0.0991956001773	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
ALL_GDT095_TOKENS	IT2a	PAGE_HOST_PLUS_COMPILER_ACTIVE	44	19	137	403.306290058	440.494140921	-37.1878508625	NOT_PRIMARY	1	-18.4712295604	1.44624259414	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
ALL_GDT095_TOKENS	IT2a	EDGE_STRIPPED_CHAR3	44	19	137	403.306290058	442.442606512	-39.1363164542	NOT_PRIMARY	0	-10.9022824083	-3.18225316609	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
ALL_GDT095_TOKENS	IT2a	STA_FAMILY_CHAR3	44	19	137	403.306290058	452.974215638	-49.6679255796	NOT_PRIMARY	1	-20.2243601204	2.71092116729	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
ALL_GDT095_TOKENS	IT2a	RESIDUAL_HOST_CHAR3	44	19	137	403.306290058	455.65382654	-52.3475364817	NOT_PRIMARY	0	-25.5445334912	-1.52590103184	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
ALL_GDT095_TOKENS	IT2a	PAGE_HOST_CHAR3	44	19	137	403.306290058	457.581480216	-54.2751901576	NOT_PRIMARY	1	-33.2275671974	2.03290947481	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
ALL_GDT095_TOKENS	IT2a	COMPILER_ACTIVE	44	19	137	403.306290058	467.273699655	-63.9674095966	NOT_PRIMARY	0	-28.8341044402	-2.2497430622	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
ALL_GDT095_TOKENS	IT2a	EDGE_ONLY	44	19	137	403.306290058	531.434382337	-128.128092279	NOT_PRIMARY	0	-43.6524416276	-3.31302608453	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
ALL_GDT095_TOKENS	RF1b	RAW_CHAR3	44	19	137	403.306290058	418.448019974	-15.1417299155	NOT_PRIMARY	2	-10.3490988186	4.8637585186	SENSITIVITY_NOT_PERMUTED	SENSITIVITY_NOT_PERMUTED
