feature_index	scope	page_host	zl_records	zl_folios	it_records	rf_records	all_reading_mask_jaccard	feature_id	claim_state
0	OPEN	a	17	5	14	16	0.722222222222	cc97d2318982e75e	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
1	OPEN	aiin	38	7	36	36	0.761904761905	87ca0512f89b0f90	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
2	OPEN	aiir	6	4	5	6	0.714285714286	97c2a56d0424aaef	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
3	OPEN	ain	6	3	5	7	0.714285714286	5bdd2ccf4b2be14e	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
4	OPEN	air	14	6	16	16	0.875000000000	d8f0267cfa495ffb	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
5	OPEN	al	23	7	20	22	0.750000000000	1218657e706da079	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
6	OPEN	ar	33	7	34	35	0.789473684211	a053ed05627154e4	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
7	OPEN	ch	11	4	9	9	0.818181818182	9b1cd8dff42209f7	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
8	OPEN	che	15	4	16	15	0.875000000000	eedcdfa4e9872d94	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
9	OPEN	ched	9	3	11	11	0.750000000000	d7a18912552e126b	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
10	OPEN	chey	9	4	7	7	0.777777777778	ac321619914ca7a7	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
11	OPEN	cho	5	3	4	5	0.800000000000	a33f58d060098de8	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
12	OPEN	d	31	6	28	29	0.870967741935	e9d0d1a89f207e97	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
13	OPEN	e	34	7	34	33	0.864864864865	e0639eb8ac9ce833	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
14	OPEN	ed	16	7	15	17	0.722222222222	f0d0877ebd94a8dd	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
15	OPEN	ee	21	7	22	22	0.869565217391	541ef2d551eded81	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
16	OPEN	eey	14	7	14	14	1.000000000000	0d464167df2bbc3b	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
17	OPEN	eo	16	5	15	15	0.823529411765	fb0895ae16e78205	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
18	OPEN	eol	13	6	14	13	0.928571428571	d56ba468f45b0392	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
19	OPEN	ey	7	4	4	7	0.571428571429	88eb41eb69d3c31c	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
20	OPEN	k	14	7	12	14	0.625000000000	244a325af89f8418	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
21	OPEN	kche	6	4	6	5	0.833333333333	6178555847050aa1	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
22	OPEN	l	42	7	30	33	0.613636363636	67fbefab237bd62e	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
23	OPEN	lk	9	3	9	10	0.800000000000	de35f72c362131db	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
24	OPEN	o	32	6	30	30	0.800000000000	aede391cdab38de5	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
25	OPEN	ok	37	7	38	36	0.871794871795	a45bbc05799fd74f	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
26	OPEN	okchd	5	3	6	5	0.833333333333	6f77769840017f87	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
27	OPEN	okche	15	6	14	15	0.933333333333	2b040fce55264449	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
28	OPEN	okchey	6	3	7	7	0.857142857143	10781ecb3900fcf3	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
29	OPEN	okchy	5	3	5	5	1.000000000000	4d5c053c64ac546c	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
30	OPEN	oke	8	5	9	8	0.777777777778	37d57f1877478b1d	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
31	OPEN	okee	13	6	13	13	1.000000000000	33d675c6d196005d	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
32	OPEN	okeeo	6	5	6	6	1.000000000000	b01846f716069665	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
33	OPEN	okeey	10	5	10	10	1.000000000000	21e57e86fc086f8c	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
34	OPEN	okol	5	4	5	5	1.000000000000	33e488de636e68d3	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
35	OPEN	okor	5	4	5	5	1.000000000000	af8e7fa48c3fb39f	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
36	OPEN	oky	5	3	4	4	0.800000000000	9dd11061b740ec17	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
37	OPEN	ol	8	6	9	8	0.777777777778	658931bfa0cb6d79	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
38	OPEN	olkee	6	3	6	6	1.000000000000	7a9910275c515a8a	EXACT_PAGE_HOST_CANDIDATE_UNASSIGNED
