panel	representation	pages	physical_folios	features	positive_cells	baseline_bits	held_bits	gain_bits	selector_paid_gain_bits	positive_gain_features	positive_gain_folios	local_permutation_p	max_four_p	max_feature_model_p
ALL_12	PAGE_HOST_IDENTITY	127	63	12	135	569.624002829	573.239886345	-3.61588351611	SENSITIVITY	6	35	0.881911808819	0.759524047595	0.414158584142
PRIMARY_CAPACITY_8	PAGE_HOST_IDENTITY	127	63	8	114	443.286295617	443.236883759	0.0494118577352	-1.95058814226	4	37	0.826717328267	0.724227577242	0.414158584142
CROSS_CURRIER_6	PAGE_HOST_IDENTITY	127	63	6	89	413.363128188	419.043955478	-5.68082728996	SENSITIVITY	2	36	0.924507549245	0.771922807719	0.414158584142
ALL_12	PAGE_HOST_CHAR3	127	63	12	135	569.624002829	562.638358694	6.98564413506	SENSITIVITY	8	36	0.433356664334	0.759524047595	0.414158584142
PRIMARY_CAPACITY_8	PAGE_HOST_CHAR3	127	63	8	114	443.286295617	434.549298054	8.73699756226	6.73699756226	6	38	0.413858614139	0.724227577242	0.414158584142
CROSS_CURRIER_6	PAGE_HOST_CHAR3	127	63	6	89	413.363128188	407.275985877	6.0871423102	SENSITIVITY	4	38	0.47395260474	0.771922807719	0.414158584142
ALL_12	RAW_CHAR3	127	63	12	135	569.624002829	565.122774557	4.5012282715	SENSITIVITY	7	36	0.457854214579	0.759524047595	0.414158584142
PRIMARY_CAPACITY_8	RAW_CHAR3	127	63	8	114	443.286295617	437.880013334	5.406282283	3.406282283	5	40	0.488351164884	0.724227577242	0.414158584142
CROSS_CURRIER_6	RAW_CHAR3	127	63	6	89	413.363128188	406.776026373	6.58710181421	SENSITIVITY	4	37	0.410758924108	0.771922807719	0.414158584142
ALL_12	COMPILER_SIGNATURE	127	63	12	135	569.624002829	569.51268777	0.111315058308	SENSITIVITY	5	34	0.69903009699	0.759524047595	0.414158584142
PRIMARY_CAPACITY_8	COMPILER_SIGNATURE	127	63	8	114	443.286295617	441.308722105	1.97757351188	-0.0224264881215	2	35	0.667933206679	0.724227577242	0.414158584142
CROSS_CURRIER_6	COMPILER_SIGNATURE	127	63	6	89	413.363128188	414.758915267	-1.39578707982	SENSITIVITY	2	35	0.737526247375	0.771922807719	0.414158584142
