page	physical_folio	source_lines	source_groups	first_locus	first_groups	body_after_first_lines	body_after_first_groups	last_locus	last_groups	selection	semantic_role
f10r	f10	9	51	f10r.1	6	8	45	f10r.12	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f10v	f10	6	35	f10v.1	9	5	26	f10v.7	1	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f11r	f11	5	19	f11r.1	8	4	11	f11r.7	4	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f11v	f11	4	22	f11v.1	8	3	14	f11v.7	4	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f13r	f13	5	26	f13r.1	8	4	18	f13r.10	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f13v	f13	7	34	f13v.1	7	6	27	f13v.9	5	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f14r	f14	8	37	f14r.3	5	7	32	f14r.13	5	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f14v	f14	5	27	f14v.1	8	4	19	f14v.9	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f15r	f15	15	73	f15r.1	7	14	66	f15r.15	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f15v	f15	9	41	f15v.1	3	8	38	f15v.12	4	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f16r	f16	9	37	f16r.1	10	8	27	f16r.11	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f16v	f16	10	48	f16v.2	6	9	42	f16v.13	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f17r	f17	6	24	f17r.1	2	5	22	f17r.11	5	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f17v	f17	17	87	f17v.1	3	16	84	f17v.22	7	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f18r	f18	7	36	f18r.5	6	6	30	f18r.12	5	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f18v	f18	7	42	f18v.1	6	6	36	f18v.9	6	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f19r	f19	9	49	f19r.1	9	8	40	f19r.12	4	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f19v	f19	7	37	f19v.1	4	6	33	f19v.13	7	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f1v	f1	6	24	f1v.1	2	5	22	f1v.10	6	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f20r	f20	9	53	f20r.1	6	8	47	f20r.13	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f20v	f20	9	56	f20v.2	9	8	47	f20v.11	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f21r	f21	9	45	f21r.1	1	8	44	f21r.12	7	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f21v	f21	8	46	f21v.1	6	7	40	f21v.8	3	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f22r	f22	8	54	f22r.1	8	7	46	f22r.13	1	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f22v	f22	14	58	f22v.1	8	13	50	f22v.16	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f23r	f23	5	22	f23r.1	4	4	18	f23r.7	11	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f23v	f23	7	46	f23v.1	2	6	44	f23v.9	10	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f24r	f24	9	46	f24r.4	6	8	40	f24r.17	4	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f24v	f24	9	34	f24v.4	6	8	28	f24v.16	2	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f25r	f25	4	18	f25r.4	8	3	10	f25r.7	1	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f25v	f25	4	23	f25v.1	1	3	22	f25v.5	6	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f26r	f26	6	33	f26r.4	10	5	23	f26r.10	5	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
f26v	f26	3	33	f26v.3	12	2	21	f26v.7	10	MECHANICAL_NUMERIC_SOURCE_LOCUS_ORDER	UNASSIGNED
