corpus	book_or_ms	record_position_quartile	groups	abbreviation_marked_groups	marker_rate	left_operations_per_group	right_operations_per_group	mean_page_host_length
NUREMBERG	Band2	0	14775	3793	0.256717428088	0.0621319796954	0.230998307953	4.20230118443
NUREMBERG	Band2	1	16982	3447	0.202979625486	0.0663054999411	0.241019903427	4.05311506301
NUREMBERG	Band2	2	17756	4025	0.226683937824	0.0655553052489	0.248197792296	3.99504392881
NUREMBERG	Band2	3	14945	4148	0.277551020408	0.0571428571429	0.231114084978	3.98614921378
NUREMBERG	Band3	0	31978	9024	0.282194008381	0.0550691100131	0.206047907937	4.19797986115
NUREMBERG	Band3	1	36991	7819	0.211375740045	0.0670974020708	0.225892784731	4.00808304723
NUREMBERG	Band3	2	39591	8860	0.2237882347	0.0663787224369	0.232603369453	3.94417923265
NUREMBERG	Band3	3	31325	9531	0.304261771748	0.0591221069433	0.22221867518	3.886735834
NUREMBERG	Band4	0	18303	5714	0.312189258591	0.0493908102497	0.162596295689	4.07714582309
NUREMBERG	Band4	1	20545	5218	0.253979070333	0.0598199075201	0.173910927233	3.96417619859
NUREMBERG	Band4	2	21897	5877	0.268392930538	0.0574051239896	0.184454491483	3.90181303375
NUREMBERG	Band4	3	15696	5226	0.332951070336	0.0415392456677	0.174885321101	3.87308868502
NUREMBERG	Band5	0	37558	11961	0.318467437031	0.0467011022951	0.185872517173	4.09409446722
NUREMBERG	Band5	1	41049	11155	0.271748398256	0.047577285683	0.194499256986	4.02660235329
NUREMBERG	Band5	2	44219	12214	0.276216106199	0.0449580497071	0.201836314706	3.96777403379
NUREMBERG	Band5	3	33397	10991	0.329101416295	0.0346438302842	0.198161511513	3.88337275803
STE1	Ste1	0	36	12	0.333333333333	0.166666666667	0.25	3.36111111111
STE1	Ste1	1	23	7	0.304347826087	0.217391304348	0.217391304348	3.47826086957
STE1	Ste1	2	34	11	0.323529411765	0.205882352941	0.0294117647059	3.5
STE1	Ste1	3	18	3	0.166666666667	0.111111111111	0.166666666667	3
