side	operation	codepoint_length	distinct_hosts	exact_pair_types	training_records	transformed_occurrences	eligible	fold	training_books	selected_rank
LEFT	ge	2	434	434	2623	9114	1	Band2	Band3;Band4;Band5	1
LEFT	v	1	302	302	2636	14929	1	Band2	Band3;Band4;Band5	2
LEFT	be	2	221	221	2605	5003	1	Band2	Band3;Band4;Band5	3
LEFT	ʒu	2	181	181	2527	815	1	Band2	Band3;Band4;Band5	4
LEFT	cʒe	3	161	161	2559	793	1	Band2	Band3;Band4;Band5	5
LEFT	c	1	160	160	2558	5307	1	Band2	Band3;Band4;Band5	6
LEFT	cʒu	3	152	152	2523	506	1	Band2	Band3;Band4;Band5	7
LEFT	vn	2	151	151	2688	32542	1	Band2	Band3;Band4;Band5	8
LEFT	ver	3	148	148	2230	2391	1	Band2	Band3;Band4;Band5	9
LEFT	an	2	127	127	2647	1856	1	Band2	Band3;Band4;Band5	10
LEFT	er	2	120	120	2568	1540	1	Band2	Band3;Band4;Band5	11
LEFT	s	1	115	115	2610	10662	1	Band2	Band3;Band4;Band5	12
RIGHT	n	1	1857	1857	2706	70874	1	Band2	Band3;Band4;Band5	1
RIGHT	e	1	1256	1256	2703	32130	1	Band2	Band3;Band4;Band5	2
RIGHT	en	2	1234	1234	2694	26312	1	Band2	Band3;Band4;Band5	3
RIGHT	s	1	975	975	2701	32258	1	Band2	Band3;Band4;Band5	4
RIGHT	t	1	636	636	2688	21781	1	Band2	Band3;Band4;Band5	5
RIGHT	er	2	463	463	2697	11971	1	Band2	Band3;Band4;Band5	6
RIGHT	r	1	291	291	2703	38110	1	Band2	Band3;Band4;Band5	7
RIGHT	l	1	188	188	2606	4381	1	Band2	Band3;Band4;Band5	8
RIGHT	et	2	182	182	2509	2888	1	Band2	Band3;Band4;Band5	9
RIGHT	st	2	160	160	2560	4048	1	Band2	Band3;Band4;Band5	10
RIGHT	m	1	135	135	2658	7604	1	Band2	Band3;Band4;Band5	11
RIGHT	es	2	116	116	2589	4480	1	Band2	Band3;Band4;Band5	12
LEFT	ge	2	360	360	2064	7040	1	Band3	Band2;Band4;Band5	1
LEFT	v	1	265	265	2022	10136	1	Band3	Band2;Band4;Band5	2
LEFT	be	2	181	181	2015	4105	1	Band3	Band2;Band4;Band5	3
LEFT	ʒu	2	179	179	1972	809	1	Band3	Band2;Band4;Band5	4
LEFT	c	1	140	140	2002	3411	1	Band3	Band2;Band4;Band5	5
LEFT	vn	2	127	127	2096	26606	1	Band3	Band2;Band4;Band5	6
LEFT	cʒu	3	125	125	1948	441	1	Band3	Band2;Band4;Band5	7
LEFT	an	2	114	114	2058	1340	1	Band3	Band2;Band4;Band5	8
LEFT	er	2	110	110	2001	1290	1	Band3	Band2;Band4;Band5	9
LEFT	s	1	107	107	2035	9196	1	Band3	Band2;Band4;Band5	10
LEFT	ver	3	106	106	1812	2151	1	Band3	Band2;Band4;Band5	11
LEFT	cʒe	3	93	93	1985	345	1	Band3	Band2;Band4;Band5	12
RIGHT	n	1	1513	1513	2109	52445	1	Band3	Band2;Band4;Band5	1
RIGHT	e	1	1122	1122	2106	25595	1	Band3	Band2;Band4;Band5	2
RIGHT	en	2	1043	1043	2102	20205	1	Band3	Band2;Band4;Band5	3
RIGHT	s	1	780	780	2105	26839	1	Band3	Band2;Band4;Band5	4
RIGHT	t	1	553	553	2081	17432	1	Band3	Band2;Band4;Band5	5
RIGHT	er	2	392	392	2105	10112	1	Band3	Band2;Band4;Band5	6
RIGHT	r	1	245	245	2105	29507	1	Band3	Band2;Band4;Band5	7
RIGHT	et	2	162	162	1928	1955	1	Band3	Band2;Band4;Band5	8
RIGHT	l	1	160	160	2009	3746	1	Band3	Band2;Band4;Band5	9
RIGHT	st	2	132	132	1983	3378	1	Band3	Band2;Band4;Band5	10
RIGHT	m	1	123	123	2072	6648	1	Band3	Band2;Band4;Band5	11
RIGHT	ich	3	104	104	2001	2172	1	Band3	Band2;Band4;Band5	12
LEFT	ge	2	430	430	2572	8982	1	Band4	Band2;Band3;Band5	1
LEFT	v	1	309	309	2554	14563	1	Band4	Band2;Band3;Band5	2
LEFT	be	2	219	219	2524	4565	1	Band4	Band2;Band3;Band5	3
LEFT	cʒe	3	164	164	2502	899	1	Band4	Band2;Band3;Band5	4
LEFT	c	1	161	161	2479	6352	1	Band4	Band2;Band3;Band5	5
LEFT	ʒu	2	161	161	2431	637	1	Band4	Band2;Band3;Band5	6
LEFT	ver	3	159	159	2292	1879	1	Band4	Band2;Band3;Band5	7
LEFT	cʒu	3	150	150	2472	570	1	Band4	Band2;Band3;Band5	8
LEFT	vn	2	146	146	2602	32325	1	Band4	Band2;Band3;Band5	9
LEFT	an	2	124	124	2548	1909	1	Band4	Band2;Band3;Band5	10
LEFT	s	1	124	124	2521	11366	1	Band4	Band2;Band3;Band5	11
LEFT	er	2	121	121	2509	1413	1	Band4	Band2;Band3;Band5	12
RIGHT	n	1	1897	1897	2618	70005	1	Band4	Band2;Band3;Band5	1
RIGHT	e	1	1294	1294	2615	32921	1	Band4	Band2;Band3;Band5	2
RIGHT	en	2	1210	1210	2605	27258	1	Band4	Band2;Band3;Band5	3
RIGHT	s	1	949	949	2611	31407	1	Band4	Band2;Band3;Band5	4
RIGHT	t	1	636	636	2596	21121	1	Band4	Band2;Band3;Band5	5
RIGHT	er	2	486	486	2609	12425	1	Band4	Band2;Band3;Band5	6
RIGHT	r	1	302	302	2615	36824	1	Band4	Band2;Band3;Band5	7
RIGHT	et	2	188	188	2454	2850	1	Band4	Band2;Band3;Band5	8
RIGHT	l	1	183	183	2536	4177	1	Band4	Band2;Band3;Band5	9
RIGHT	m	1	143	143	2580	7228	1	Band4	Band2;Band3;Band5	10
