book	query_record	truth_dimension	truth_target_record	truth_set_jaccard	representation	candidate_pool	model_rank	reciprocal_rank	top1	top10	top_decile	normalized_rank	model_set_jaccard
Band2	NB_B2_R000001	CONTENT	NB_B2_R000021	0.0897832817337	RAW_GROUP_IDENTITY	463	20	0.05	0	0	1	0.0431965442765	0.064039408867
Band2	NB_B2_R000001	CONTENT	NB_B2_R000021	0.0897832817337	RAW_CHAR3	463	2	0.5	0	1	1	0.00431965442765	0.238574040219
Band2	NB_B2_R000001	CONTENT	NB_B2_R000021	0.0897832817337	PAGE_HOST_IDENTITY	463	8	0.125	0	1	1	0.0172786177106	0.0933734939759
Band2	NB_B2_R000001	CONTENT	NB_B2_R000021	0.0897832817337	PAGE_HOST_CHAR3	463	3	0.333333333333	0	1	1	0.00647948164147	0.234262125903
Band2	NB_B2_R000001	CONTENT	NB_B2_R000021	0.0897832817337	COMPILER_SIGNATURE	463	241	0.00414937759336	0	0	0	0.520518358531	0.274509803922
Band2	NB_B2_R000001	CONTENT	NB_B2_R000021	0.0897832817337	MARKER_AND_POSITION	463	121	0.00826446280992	0	0	0	0.261339092873	0.785714285714
Band2	NB_B2_R000001	CONTENT	NB_B2_R000021	0.0897832817337	HOST_PLUS_COMPILER	463	20	0.05	0	0	1	0.0431965442765	0.064039408867
Band2	NB_B2_R000002	CONTENT	NB_B2_R000200	0.0810810810811	RAW_GROUP_IDENTITY	463	1	1	1	1	1	0.00215982721382	0.0810810810811
Band2	NB_B2_R000002	CONTENT	NB_B2_R000200	0.0810810810811	RAW_CHAR3	463	368	0.00271739130435	0	0	0	0.794816414687	0.0864864864865
Band2	NB_B2_R000002	CONTENT	NB_B2_R000200	0.0810810810811	PAGE_HOST_IDENTITY	463	1	1	1	1	1	0.00215982721382	0.0810810810811
Band2	NB_B2_R000002	CONTENT	NB_B2_R000200	0.0810810810811	PAGE_HOST_CHAR3	463	410	0.00243902439024	0	0	0	0.885529157667	0.0813953488372
Band2	NB_B2_R000002	CONTENT	NB_B2_R000200	0.0810810810811	COMPILER_SIGNATURE	463	132	0.00757575757576	0	0	0	0.285097192225	0.111111111111
Band2	NB_B2_R000002	CONTENT	NB_B2_R000200	0.0810810810811	MARKER_AND_POSITION	463	233	0.00429184549356	0	0	0	0.503239740821	0.454545454545
Band2	NB_B2_R000002	CONTENT	NB_B2_R000200	0.0810810810811	HOST_PLUS_COMPILER	463	1	1	1	1	1	0.00215982721382	0.0810810810811
Band2	NB_B2_R000003	CONTENT	NB_B2_R000067	0.307692307692	RAW_GROUP_IDENTITY	461	1	1	1	1	1	0.00216919739696	0.25
