context_mode	occurrence_id	focal_host_id	focal_host	locus	physical_folio	section	currier	hand	group_index	group_count	context_raw_count	context_unique_identities	context_sha256	claim_state
WINDOW_PM2	f100r.22:5	Ha1888c82d959b54c	cphol	f100r.22	f100	P	A	1	5	8	2	2	abe190193eb7fc167610baf189e78d42b0d9373466a887ad03db8a681d46b0f3	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.22:6	Hbc56ada309bb04a8	ees	f100r.22	f100	P	A	1	6	8	2	2	f0da93738567770cd60615a648d4cdf4dc6e99e90717cd6bcdcee0436f758730	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.22:7	H2bdd94c004581aa9	ey	f100r.22	f100	P	A	1	7	8	2	2	a770ed86924745625526f9788d11ff5f73125e3d0e87f60c158ced536b4a3dc8	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.24:1	Hb81bd1794cb8ff01	aiichor	f100r.24	f100	P	A	1	1	9	2	2	8980c140f66949423bd48f163a50b6d144c3f7736cfc317fa4b986d33d8d8db9	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.24:2	Hdf80071647156c98	eor	f100r.24	f100	P	A	1	2	9	3	3	6c5cac802289ec8e141568e1a315099d8d67426b3d5d1010953d28ac6ad688fb	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.24:3	Hf91627a035ee6d16	ockho	f100r.24	f100	P	A	1	3	9	3	3	c567ec5ae5261c2eeeba51498416c8ed59928cfe9b3d1c3d5ca7fe91aa8ac112	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.24:4	H13103a7285731ca7	odeor	f100r.24	f100	P	A	1	4	9	2	2	8980c140f66949423bd48f163a50b6d144c3f7736cfc317fa4b986d33d8d8db9	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.25:1	Hdf80071647156c98	eor	f100r.25	f100	P	A	1	1	10	2	2	193c66325e521bcbd8136d6083b3355c067a2a87e9aa818d1ed6b38f790e19d2	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.25:2	Hcaa1b3fccb03191a	keeo	f100r.25	f100	P	A	1	2	10	3	3	5a83718785ed5b3f694d09cbbf349c7ed2ea3b5623e95d7622369acc55c54e5e	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.25:3	Hacac86c0e609ca90	l	f100r.25	f100	P	A	1	3	10	4	4	d24e8d6868e079ef239867f3c53d790cf9b32ccac7957a4434ac592b3713332e	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.25:4	H055eebf601617046	aiin	f100r.25	f100	P	A	1	4	10	4	4	69dc6e7590dc570adcaf07b030a0082ead2fdf970165b3b30b4ea3296bc29c11	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.25:5	H70f0f2d2339c3c71	ctheol	f100r.25	f100	P	A	1	5	10	4	4	2bbbf11a7d7a821f68782928474e1292379e1fafca67e3def5c10d5fc007301b	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.25:6	Hb4829753fc89bd19	olcheol	f100r.25	f100	P	A	1	6	10	4	4	9f22b503e6a22d046a208ce78f6907abd20d5552641dd6afcc1cb166b398f0b3	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.25:7	H2076584e3f0868e7	ky	f100r.25	f100	P	A	1	7	10	4	4	4a371b869ad0c85d9ea0183d24e88934a75e7be4d3e308dd0356ef5eecc5f288	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.25:8	Hacac86c0e609ca90	l	f100r.25	f100	P	A	1	8	10	4	4	e9fbef68ce830fe06ddbbb98416ec9235aeed0b33d51d2082dd8f57172b24978	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.25:9	Hfa12806087aab99d	ockhy	f100r.25	f100	P	A	1	9	10	3	3	818c331194de327fd7d058351066f18c7b4c6115c071c89aba256d15e0aae2db	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.25:10	Hafebe00901ad67dd	okeol	f100r.25	f100	P	A	1	10	10	2	2	5aaf48af3149934507645d79fb09257f5cef1f5a4acb5874d35c4abc1e2e99b3	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.27:1	Hacac86c0e609ca90	l	f100r.27	f100	P	A	1	1	5	2	2	3b2d5791a01761b34451517ee5a80d7cfd8a2026d47a1aa0c186cfdf59b8b805	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.27:2	Hacac86c0e609ca90	l	f100r.27	f100	P	A	1	2	5	3	3	1467fae75101750934d17aea02e32c43dc900fa65948a069cee8e839485c14f4	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
WINDOW_PM2	f100r.27:3	H65c74c15a686187b	o	f100r.27	f100	P	A	1	3	5	4	3	f2873c8627063691433b347133c2bb947d9ff5555df4fa97066ee4afe3dca2ed	OPAQUE_CONTEXT_INVENTORY_NO_LEXEME_OR_MEANING
