view	diagnostic	metric	value	gain_bits	positive_units	units
CONTROL_X	GDT113_RECORD_ARCHITECTURE	record_end_b3_precision	1.0			
CONTROL_X	GDT113_RECORD_ARCHITECTURE	nonend_b3_rate	0.0			
CONTROL_X	GDT113_RECORD_ARCHITECTURE	line_end_closure_recall	1.0			
CONTROL_X	GDT113_RECORD_ARCHITECTURE	host_types	6175			
CONTROL_X	GDT113_RECORD_ARCHITECTURE	surface_types	9901			
CONTROL_X	GDT113_RECORD_ARCHITECTURE	host_recurrent_mass	0.6076666666666667			
CONTROL_X	GDT113_RECORD_ARCHITECTURE	surface_recurrent_mass	0.25658333333333333			
CONTROL_X	GDT162_SHORT_HOST	host_types	6175			
CONTROL_X	GDT162_SHORT_HOST	short_host_mass	1.0			
CONTROL_X	GDT162_SHORT_HOST	hamming1_edges	154755			
CONTROL_X	GDT162_SHORT_HOST	hamming1_density	0.008118412200044852			
CONTROL_X	GDT160_SURFACE_ALGEBRA	selected_operations	231			
CONTROL_X	GDT160_SURFACE_ALGEBRA	compatible_pair_density	0.01645021645021645			
CONTROL_X	GDT160_SURFACE_ALGEBRA	graph_lr_excess	386.060546875			
CONTROL_X	GDT160_SURFACE_ALGEBRA	inclusive_p	0.000975609756097561			
CONTROL_X	GDT160_SURFACE_ALGEBRA	switchable_right_fraction	1.0			
CONTROL_X	GDT163_164_SUBSTITUTION	COMPILER_DELTA_COSINE	0.004493411595228844			
CONTROL_X	GDT163_164_SUBSTITUTION	EXTERNAL_WINDOW_DELTA_COSINE	0.00027412971073331825			
CONTROL_X	GDT162_167_CONTEXT	COMPILER_GAIN_PER_EVENT	-0.6110659295038187	-73327.91154045824	0	210
CONTROL_X	GDT162_167_CONTEXT	NEXT_HOST_GAIN_PER_EVENT	-0.3844277845928802	-38404.33568082873	10	210
CONTROL_X	GDT162_167_CONTEXT	WINDOW_PM2_GAIN_PER_EVENT	-0.4541790362088885	-54478.775393256175	0	210
CONTROL_X	GDT162_167_CONTEXT	WHOLE_LINE_GAIN_PER_EVENT	-0.47401905928244753	-56858.58616092958	0	210
CONTROL_X	GDT167_ALIGNMENT	CROSS_REGISTER_MEAN_CORRELATION	0.9999999999999998			
CONTROL_Y	GDT113_RECORD_ARCHITECTURE	record_end_b3_precision	1.0			
CONTROL_Y	GDT113_RECORD_ARCHITECTURE	nonend_b3_rate	0.0			
CONTROL_Y	GDT113_RECORD_ARCHITECTURE	line_end_closure_recall	1.0			
CONTROL_Y	GDT113_RECORD_ARCHITECTURE	host_types	100			
CONTROL_Y	GDT113_RECORD_ARCHITECTURE	surface_types	7170			
CONTROL_Y	GDT113_RECORD_ARCHITECTURE	host_recurrent_mass	1.0			
CONTROL_Y	GDT113_RECORD_ARCHITECTURE	surface_recurrent_mass	0.6066666666666667			
CONTROL_Y	GDT162_SHORT_HOST	host_types	100			
CONTROL_Y	GDT162_SHORT_HOST	short_host_mass	1.0			
CONTROL_Y	GDT162_SHORT_HOST	hamming1_edges	1080			
CONTROL_Y	GDT162_SHORT_HOST	hamming1_density	0.21818181818181817			
CONTROL_Y	GDT160_SURFACE_ALGEBRA	selected_operations	184			
CONTROL_Y	GDT160_SURFACE_ALGEBRA	compatible_pair_density	0.18525778094559278			
CONTROL_Y	GDT160_SURFACE_ALGEBRA	graph_lr_excess	2525.947265625			
CONTROL_Y	GDT160_SURFACE_ALGEBRA	inclusive_p	0.000975609756097561			
CONTROL_Y	GDT160_SURFACE_ALGEBRA	switchable_right_fraction	0.9995845943860898			
CONTROL_Y	GDT163_164_SUBSTITUTION	COMPILER_DELTA_COSINE	0.11192706702780222			
CONTROL_Y	GDT163_164_SUBSTITUTION	EXTERNAL_WINDOW_DELTA_COSINE	-0.003385093408150638			
CONTROL_Y	GDT162_167_CONTEXT	COMPILER_GAIN_PER_EVENT	-2.1446324877771152	-257355.8985332538	0	210
CONTROL_Y	GDT162_167_CONTEXT	NEXT_HOST_GAIN_PER_EVENT	-1.0699261769523203	-106885.6250775368	0	210
CONTROL_Y	GDT162_167_CONTEXT	WINDOW_PM2_GAIN_PER_EVENT	-0.2446690495400661	-29348.052492330928	0	210
CONTROL_Y	GDT162_167_CONTEXT	WHOLE_LINE_GAIN_PER_EVENT	-0.11615866375678864	-13933.231717626797	0	210
CONTROL_Y	GDT167_ALIGNMENT	CROSS_REGISTER_MEAN_CORRELATION	1.0			
