world	D1_position_permutation	any_common_literal_equal_mask	end1_y_equal_mask	equal_predicates	observed_world
0	0123	1	1	END1:y|HAS1:y	1
1	0132	0	0		0
2	0213	0	0		0
3	0231	0	0		0
4	0312	0	0		0
5	0321	1	1	END1:y|HAS1:y	0
6	1023	1	0	HAS2:ra	0
7	1032	1	0	HAS2:ra	0
8	1203	0	0		0
9	1230	0	0		0
10	1302	0	0		0
11	1320	0	0		0
12	2013	1	0	HAS2:ra	0
13	2031	1	0	HAS2:ra	0
14	2103	1	1	END1:y|HAS1:y	0
15	2130	0	0		0
16	2301	1	1	END1:y|HAS1:y	0
17	2310	0	0		0
18	3012	1	0	HAS2:ra	0
19	3021	1	0	HAS2:ra	0
20	3102	0	0		0
21	3120	0	0		0
22	3201	0	0		0
23	3210	0	0		0
