scope	representation	page	label_locus	true_assembly	top_similarity	bottom_similarity	predicted_assembly	correct
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.18	TOP	0.0178571428571	0.00952380952381	TOP	1
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.19	TOP	0	0	TIE	0
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.20	TOP	0.0363636363636	0.00952380952381	TOP	1
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.21	TOP	0.0178571428571	0.0192307692308	BOTTOM	0
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.24	TOP	0	0	TIE	0
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.25	TOP	0.0754716981132	0.0291262135922	TOP	1
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.26	TOP	0.0185185185185	0	TOP	1
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.27	TOP	0	0.00970873786408	BOTTOM	0
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.28	TOP	0.0185185185185	0.0196078431373	BOTTOM	0
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.29	TOP	0.0181818181818	0.00961538461538	TOP	1
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.30	TOP	0	0	TIE	0
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.31	TOP	0	0	TIE	0
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.32	TOP	0.0178571428571	0.00952380952381	TOP	1
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.33	TOP	0.0178571428571	0.0291262135922	BOTTOM	0
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.34	TOP	0.0181818181818	0	TOP	1
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.35	TOP	0.0555555555556	0.049504950495	TOP	1
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.36	TOP	0.0357142857143	0.0190476190476	TOP	1
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.37	TOP	0.0178571428571	0.00952380952381	TOP	1
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.50	BOTTOM	0	0.018691588785	BOTTOM	1
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.51	BOTTOM	0.0344827586207	0.0686274509804	BOTTOM	1
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.52	BOTTOM	0.037037037037	0.0294117647059	TOP	0
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.53	BOTTOM	0.0363636363636	0.0192307692308	TOP	0
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.54	BOTTOM	0.0363636363636	0.0392156862745	BOTTOM	1
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.55	BOTTOM	0	0.0291262135922	BOTTOM	1
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f75v	f75v.56	BOTTOM	0.0545454545455	0.0490196078431	TOP	0
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f83r	f83r.45	TOP	0.0344827586207	0.0454545454545	BOTTOM	0
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f83r	f83r.46	TOP	0.0526315789474	0.0952380952381	BOTTOM	0
COMPLETE_LINES_PRIMARY	RAW_CHAR3	f83r	f83r.51	BOTTOM	0.0169491525424	0.0222222222222	BOTTOM	1
COMPLETE_LINES_PRIMARY	PAGE_HOST_CHAR3	f75v	f75v.18	TOP	0.0540540540541	0.0128205128205	TOP	1
COMPLETE_LINES_PRIMARY	PAGE_HOST_CHAR3	f75v	f75v.19	TOP	0	0	TIE	0
COMPLETE_LINES_PRIMARY	PAGE_HOST_CHAR3	f75v	f75v.20	TOP	0.0857142857143	0.0263157894737	TOP	1
