locus	page	physical_folio	token	raw_family	transferred_prefix	strict_residual	figure_tag	star_or_sky_tag	plant_tag	annotation_certainty	object_tags	relation_tags	claim_state
f67r2.22	f67r2	f67	okal	AQAB	AQAB	EMPTY	0	1	0	HEDGED	LABEL;STAR_OR_SKY	REL_PROXIMITY	AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f67v1.3	f67v1	f67	okal	AQAB|ACA	AQAB	|ACA	0	0	0	UNHEDGED	LABEL		AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f70v1.5	f70v1	f70	okalal	AQABAB	AQAB	AB	1	1	0	HEDGED	FIGURE;LABEL;STAR_OR_SKY		AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f70v2.30	f70v2	f70	okaldal	AQABBAB	AQAB	BAB	1	1	0	HEDGED	FIGURE;LABEL;STAR_OR_SKY		AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f72r1.5	f72r1	f72	okalam	AQABAB	AQAB	AB	1	1	0	HEDGED	FIGURE;LABEL;STAR_OR_SKY		AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f72r2.8	f72r2	f72	okalar	AQABAC	AQAB	AC	1	1	0	HEDGED	FIGURE;LABEL;STAR_OR_SKY	REL_ENCLOSURE	AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f72r2.9	f72r2	f72	okal	AQAB	AQAB	EMPTY	1	1	0	HEDGED	FIGURE;LABEL;STAR_OR_SKY	REL_ENCLOSURE	AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f72r2.10	f72r2	f72	okaly	AQABA	AQAB	A	1	1	0	HEDGED	FIGURE;LABEL;STAR_OR_SKY	REL_ENCLOSURE	AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f72r2.11	f72r2	f72	okal	AQAB	AQAB	EMPTY	1	1	0	HEDGED	FIGURE;LABEL;STAR_OR_SKY	REL_ENCLOSURE	AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f72r2.18	f72r2	f72	okaly	AQABA	AQAB	A	1	1	0	HEDGED	FIGURE;LABEL;STAR_OR_SKY	REL_ENCLOSURE	AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f72r2.27	f72r2	f72	okaldy	AQABBA	AQAB	BA	1	1	0	HEDGED	FIGURE;LABEL;STAR_OR_SKY		AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f72r3.22	f72r3	f72	okalar	AQABAC	AQAB	AC	1	1	0	HEDGED	FIGURE;LABEL;STAR_OR_SKY		AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f72v1.30	f72v1	f72	okalair	AQABAF	AQAB	AF	1	1	0	HEDGED	FIGURE;LABEL;STAR_OR_SKY		AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f72v3.17	f72v3	f72	okaly	AQABA	AQAB	A	1	1	0	HEDGED	FIGURE;LABEL;STAR_OR_SKY		AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f72v3.18	f72v3	f72	okaldy	AQABBA	AQAB	BA	1	1	0	HEDGED	FIGURE;LABEL;STAR_OR_SKY		AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f73v.27	f73v	f73	okal	AQAB	AQAB	EMPTY	1	1	0	HEDGED	FIGURE;LABEL;STAR_OR_SKY		AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f77v.44	f77v	f77	okalo	AQABA	AQAB	A	1	0	0	UNHEDGED	FIGURE;LABEL	REL_ARRAY_OR_GROUP;REL_PROXIMITY	AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f80r.3	f80r	f80	okaly	AQABA	AQAB	A	1	0	0	UNHEDGED	FIGURE;LABEL	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f82r.36	f82r	f82	okal	AQAB	AQAB	EMPTY	1	0	0	UNHEDGED	FIGURE;LABEL;WATER_OR_APPARATUS	REL_ARRAY_OR_GROUP;REL_PROXIMITY	AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
f82v.40	f82v	f82	okalchy	AQABKA	AQAB	KA	1	0	0	UNHEDGED	FIGURE;LABEL	REL_PROXIMITY	AQAB_LABEL_RENDERER_CLUSTER_RESIDUAL_UNASSIGNED
