representation	left_state	right_state	count
SIZE2	L3P	L3P	109
SIZE2	L3P	S12	138
SIZE2	S12	L3P	144
SIZE2	S12	S12	277
SIZE4	G1	G1	140
SIZE4	G1	G2	49
SIZE4	G1	G3_5	71
SIZE4	G1	G6P	38
SIZE4	G2	G1	52
SIZE4	G2	G2	36
SIZE4	G2	G3_5	27
SIZE4	G2	G6P	8
SIZE4	G3_5	G1	61
SIZE4	G3_5	G2	31
SIZE4	G3_5	G3_5	56
SIZE4	G3_5	G6P	20
SIZE4	G6P	G1	35
SIZE4	G6P	G2	11
SIZE4	G6P	G3_5	18
SIZE4	G6P	G6P	15
END2	DY	DY	352
END2	DY	LINE_END	151
END2	LINE_END	DY	132
END2	LINE_END	LINE_END	33
JOINT4	L3P|DY	L3P|DY	27
JOINT4	L3P|DY	L3P|LINE_END	30
JOINT4	L3P|DY	S12|DY	57
JOINT4	L3P|DY	S12|LINE_END	36
JOINT4	L3P|LINE_END	L3P|DY	32
JOINT4	L3P|LINE_END	L3P|LINE_END	20
JOINT4	L3P|LINE_END	S12|DY	44
JOINT4	L3P|LINE_END	S12|LINE_END	1
JOINT4	S12|DY	L3P|DY	67
JOINT4	S12|DY	L3P|LINE_END	46
JOINT4	S12|DY	S12|DY	201
JOINT4	S12|DY	S12|LINE_END	39
JOINT4	S12|LINE_END	L3P|DY	22
JOINT4	S12|LINE_END	L3P|LINE_END	9
JOINT4	S12|LINE_END	S12|DY	34
JOINT4	S12|LINE_END	S12|LINE_END	3
