world_index	model	held_bits
0	COMPRESSED_NATURAL_LANGUAGE	70991.963594474015
0	ABBREVIATION_HEAVY_LANGUAGE	70533.500109141867
0	TECHNICAL_NOTATION	77802.697488490230
0	HYBRID	78549.798689857984
1	COMPRESSED_NATURAL_LANGUAGE	70951.015770046230
1	ABBREVIATION_HEAVY_LANGUAGE	70736.795083046032
1	TECHNICAL_NOTATION	77971.899722300150
1	HYBRID	78690.155102663339
2	COMPRESSED_NATURAL_LANGUAGE	71064.876242244791
2	ABBREVIATION_HEAVY_LANGUAGE	70810.856446092163
2	TECHNICAL_NOTATION	77926.341791913786
2	HYBRID	78477.705466886749
3	COMPRESSED_NATURAL_LANGUAGE	70896.059755243463
3	ABBREVIATION_HEAVY_LANGUAGE	70760.785940901347
3	TECHNICAL_NOTATION	77760.711937304819
3	HYBRID	78456.476702024462
4	COMPRESSED_NATURAL_LANGUAGE	70966.413018129024
4	ABBREVIATION_HEAVY_LANGUAGE	70769.077024622573
4	TECHNICAL_NOTATION	78023.826777727547
4	HYBRID	78532.720378528145
5	COMPRESSED_NATURAL_LANGUAGE	71130.110391996961
5	ABBREVIATION_HEAVY_LANGUAGE	70612.506308635304
5	TECHNICAL_NOTATION	78115.148794460678
5	HYBRID	78503.707642753216
6	COMPRESSED_NATURAL_LANGUAGE	70910.007519082399
6	ABBREVIATION_HEAVY_LANGUAGE	70704.089582709435
6	TECHNICAL_NOTATION	77752.024584218583
6	HYBRID	78548.186003271549
7	COMPRESSED_NATURAL_LANGUAGE	71058.103126421556
7	ABBREVIATION_HEAVY_LANGUAGE	70630.587879615428
7	TECHNICAL_NOTATION	77786.168964810757
7	HYBRID	78580.410734025485
8	COMPRESSED_NATURAL_LANGUAGE	70773.689750520061
8	ABBREVIATION_HEAVY_LANGUAGE	70697.569568442370
8	TECHNICAL_NOTATION	77768.612562555893
8	HYBRID	78579.838728725430
9	COMPRESSED_NATURAL_LANGUAGE	70936.530689589097
9	ABBREVIATION_HEAVY_LANGUAGE	70830.061569758982
9	TECHNICAL_NOTATION	77720.491080744367
9	HYBRID	78396.813856178182
10	COMPRESSED_NATURAL_LANGUAGE	70805.767422885197
10	ABBREVIATION_HEAVY_LANGUAGE	70568.516589571867
10	TECHNICAL_NOTATION	77818.642040686391
10	HYBRID	78487.787722653709
11	COMPRESSED_NATURAL_LANGUAGE	71006.851125299014
11	ABBREVIATION_HEAVY_LANGUAGE	70734.706940911143
11	TECHNICAL_NOTATION	77810.994974527159
11	HYBRID	78504.035511435388
12	COMPRESSED_NATURAL_LANGUAGE	70946.469709375233
12	ABBREVIATION_HEAVY_LANGUAGE	70681.166096699875
12	TECHNICAL_NOTATION	77816.267496707296
12	HYBRID	78477.748567293282
13	COMPRESSED_NATURAL_LANGUAGE	70937.035159744410
13	ABBREVIATION_HEAVY_LANGUAGE	70489.241608837445
13	TECHNICAL_NOTATION	77776.670534070479
13	HYBRID	78491.789432439837
14	COMPRESSED_NATURAL_LANGUAGE	70941.880214488992
14	ABBREVIATION_HEAVY_LANGUAGE	70651.716579794811
14	TECHNICAL_NOTATION	77975.536229015357
14	HYBRID	78572.026663365396
15	COMPRESSED_NATURAL_LANGUAGE	70871.949907020273
15	ABBREVIATION_HEAVY_LANGUAGE	70751.346788716473
