control_id	view	representation	events	scoring_folds	observed_bits	null_mean_bits	null_sd_bits	saving_bits	saving_bits_per_event	null_z	ratio_s_event_to_voynich	ratio_z_to_voynich	powered_for_gate	reproduces_voynich_magnitude	lower_tail_p	representation_changes_across_folds	rank_by_saving_bits_per_event
VOYNICH_REFERENCE	LENGTH_MATCHED_OVERLAY	LOFO_SAFE	4476	91	40423.496334783369	42022.778856872974	71.289021325620	1599.282522089605	0.357301725221	22.433784225831	0.994688895477	1.064539824389	1	0	0.015384615385	4146	1
ABBREVIATION_HEAVY_MEDIEVAL	LENGTH_MATCHED_OVERLAY	LOFO_SAFE	4476	91	58032.272075005050	58849.912387728553	68.561883038993	817.640312723503	0.182672098464	11.925581335893	0.508539128220	0.565899008979	1	0	0.015384615385	400855	2
LATIN_MEDICAL_GRAPHEMATIC	LENGTH_MATCHED_OVERLAY	LOFO_SAFE	4476	91	67630.702861768339	68059.341526205259	64.082653546165	428.638664436919	0.095763776684	6.688840750456	0.266595872711	0.317402417986	1	0	0.015384615385	362553	3
ORDINARY_NATURAL_LANGUAGE	LENGTH_MATCHED_OVERLAY	LOFO_SAFE	4476	91	54978.435996735781	55187.672821840068	57.787553854953	209.236825104286	0.046746386306	3.620793945172	0.130136822970	0.171815834179	1	0	0.015384615385	394199	4
LATIN_15C_GRAPHEMATIC	LENGTH_MATCHED_OVERLAY	LOFO_SAFE	4476	91	67615.319348827412	67824.260795987837	72.260503993120	208.941447160425	0.046680394808	2.891502765886	0.129953109863	0.137209122439	1	0	0.015384615385	366262	5
HYBRID_SHORTHAND	LENGTH_MATCHED_OVERLAY	LOFO_SAFE	4476	91	60796.832377914892	60927.589345106695	56.278022086222	130.756967191803	0.029212905986	2.323410851069	0.081325532841	0.110251723672	1	0	0.046153846154	407316	6
COMPOSITIONAL_TECHNICAL_NOTATION	LENGTH_MATCHED_OVERLAY	LOFO_SAFE	4476	91	55024.946038158378	55144.703351814598	56.428672121534	119.757313656221	0.026755432005	2.122277720771	0.074484194256	0.100707447724	1	0	0.061538461538	391645	7
LEARNED_ABBREVIATION_SAMPLED	LENGTH_MATCHED_OVERLAY	LOFO_SAFE	4476	91	54280.201399852500	54346.181596535484	71.375522403296	65.980196682984	0.014740883977	0.924409299734	0.041037007568	0.043865560250	1	0	0.200000000000	394142	8
ARBITRARY_LOCAL_CODEBOOK	LENGTH_MATCHED_OVERLAY	LOFO_SAFE	4476	91	68593.817645938063	68645.172174393025	69.995865680465	51.354528454962	0.011473308413	0.733679453147	0.031940434839	0.034814946437	1	0	0.261538461538	394137	9
LEARNED_ABBREVIATION_MAP	LENGTH_MATCHED_OVERLAY	LOFO_SAFE	4476	91	54122.764511276204	54165.777626936826	65.875780763904	43.013115660622	0.009609721997	0.652942783552	0.026752414234	0.030983787182	1	0	0.292307692308	389820	10
