page_host	events	folios	sections	hands
y	499	78	6	5
l	489	82	6	5
ok	437	58	6	5
aiin	436	84	6	5
or	275	78	6	5
ot	253	57	6	5
e	234	42	6	4
o	207	67	6	5
d	189	61	6	5
ar	188	58	6	5
al	157	52	6	5
okee	126	25	5	4
oke	121	30	5	5
okeey	115	29	5	3
ee	103	31	6	5
cthy	100	50	4	4
ain	90	48	6	4
eey	86	37	6	3
oky	85	52	5	4
ey	82	38	5	5
k	76	33	4	4
ckhy	72	41	6	4
a	69	36	6	4
s	65	42	4	3
chy	62	32	5	4
ol	56	35	5	4
eol	50	29	5	4
che	49	22	4	5
okol	48	32	5	4
air	43	27	5	4
lche	42	18	3	3
olk	41	20	4	3
okey	40	22	4	4
r	40	25	5	4
ch	39	31	5	4
eo	38	24	5	4
chol	37	25	2	2
ed	37	17	4	3
okchy	35	24	2	3
chey	34	23	4	3
yt	33	17	5	3
chor	32	19	2	2
cthol	30	19	3	2
lk	30	11	3	2
oly	29	21	5	4
ky	27	21	5	4
okch	27	19	4	3
yk	27	19	5	3
otey	25	16	5	3
os	23	20	3	4
okor	22	17	3	3
olche	22	13	4	2
aiiin	21	15	6	3
an	21	13	1	2
cthey	21	17	3	4
cthor	20	15	2	2
eor	20	17	5	3
ockhy	20	15	3	3
octhy	20	16	4	4
