operation	field	source_value	target_value	pairs	hosts	baseline_sse	model_sse	sse_gain	direction_correct_hosts	direction_accuracy	mean_delta_first	mean_delta_middle	mean_delta_last	null_mean_gain	null_sd_gain	local_p	max_family_p	classification
wrapper:ch>s	wrapper	ch	s	7	7	3.885200680618	0.927676700970	2.957523979648	7	1.000000000000	0.406397676264	-0.527177677797	0.120780001533	-0.661039406563	0.820092964245	0.017329753478	0.047351720771	TRANSFERRED_DELTA
wrapper:NONE>s	wrapper	NONE	s	8	8	4.205322040378	1.598727878432	2.606594161946	7	0.875000000000	0.401143501918	-0.456782442930	0.055638941011	-0.620584688426	0.747723328227	0.012936294850	0.064681474249	WEAK_DELTA
wrapper:che>s	wrapper	che	s	5	5	2.899429757008	0.916932323633	1.982497433376	5	1.000000000000	0.354014380681	-0.547499660833	0.193485280152	-0.714607683904	0.906836449797	0.065169636319	0.335367341958	WEAK_DELTA
wrapper:s>sh	wrapper	s	sh	5	5	1.869607809632	0.483999672408	1.385608137224	5	1.000000000000	-0.328703445225	0.438122312253	-0.109418867028	-0.478073178535	0.625456761132	0.061508420796	0.286307053942	WEAK_DELTA
wrapper:d>s	wrapper	d	s	8	8	1.628451135668	0.508433593833	1.120017541835	8	1.000000000000	0.265825559942	-0.289282319358	0.023456759416	-0.231248515195	0.300629459097	0.008542836222	0.026360751770	TRANSFERRED_DELTA
wrapper:ch>t	wrapper	ch	t	4	4	1.419625136516	0.367727872435	1.051897264081	4	1.000000000000	0.394860970416	-0.383604829750	-0.011256140666	-0.473553449925	0.696767189116	0.125213570906	0.752257749573	WEAK_DELTA
wrapper:NONE>t	wrapper	NONE	t	4	4	1.127925826836	0.319341706530	0.808584120307	4	1.000000000000	0.365759733098	-0.317794201766	-0.047965531332	-0.375688115296	0.545867834317	0.124481327801	0.792775201367	WEAK_DELTA
wrapper:ch>d	wrapper	ch	d	10	9	1.773844444231	0.972937382192	0.800907062040	8	0.888888888889	0.117424744233	-0.272014204952	0.154589460719	-0.226427607517	0.233357201990	0.008786917257	0.052233341469	WEAK_DELTA
wrapper:che>t	wrapper	che	t	4	4	1.403907903400	0.834487392354	0.569420511046	3	0.750000000000	0.347352647353	-0.335920574524	-0.011432072829	-0.447863558971	0.663973850069	0.261654869417	0.957041737857	WEAK_DELTA
wrapper:che>d	wrapper	che	d	5	5	0.755894344216	0.273589819855	0.482304524361	5	1.000000000000	0.158076449453	-0.277377739315	0.119301289862	-0.187178658761	0.227565582811	0.067122284598	0.396875762753	WEAK_DELTA
wrapper:NONE>d	wrapper	NONE	d	11	10	1.093459699298	0.682552941897	0.410906757401	9	0.900000000000	0.099905659264	-0.189751739690	0.089846080425	-0.121702144431	0.126288191855	0.003173053454	0.079082255309	WEAK_DELTA
wrapper:NONE>che	wrapper	NONE	che	10	9	0.550381251634	0.269562165012	0.280819086621	9	1.000000000000	-0.061519776962	0.156877259315	-0.095357482353	-0.069141948382	0.080874282021	0.003905296558	0.057847205272	WEAK_DELTA
wrapper:NONE>q	wrapper	NONE	q	38	31	1.858358114836	1.628016310553	0.230341804284	24	0.774193548387	0.075295967857	-0.004034891257	-0.071261076599	-0.062851934819	0.059489996845	0.001464486209	0.006102025873	TRANSFERRED_DELTA
wrapper:sh>t	wrapper	sh	t	7	7	1.157142156209	0.927389065040	0.229753091169	4	0.571428571429	0.181385545671	-0.187180213966	0.005794668295	-0.191290681141	0.234068349938	0.128142543324	0.866975835978	WEAK_DELTA
wrapper:d>sh	wrapper	d	sh	5	5	0.378851450196	0.223587244746	0.155264205450	5	1.000000000000	-0.074448936878	0.176575027118	-0.102126090240	-0.092629484185	0.099034794345	0.061996582866	0.535025628509	WEAK_DELTA
wrapper:ch>sh	wrapper	ch	sh	12	10	0.566490249556	0.462596619156	0.103893630400	8	0.800000000000	0.109458220550	-0.079295812690	-0.030162407860	-0.062575921455	0.061974153966	0.029289724188	0.454967049060	WEAK_DELTA
wrapper:ch>q	wrapper	ch	q	11	10	0.985991447285	1.008307553509	-0.022316106225	7	0.700000000000	0.106149602886	-0.056583761748	-0.049565841139	-0.104848508378	0.113309868186	0.200878691726	0.999023675860	FAILED_DELTA
wrapper:ch>che	wrapper	ch	che	12	10	0.166688614738	0.191174906581	-0.024486291843	7	0.700000000000	0.002787446343	-0.025601565445	0.022814119102	-0.018665871978	0.022555039658	0.415914083476	1.000000000000	FAILED_DELTA
dy_closure:0>1	dy_closure	0	1	9	5	0.788300203582	0.841804042629	-0.053503839047	4	0.800000000000	-0.040423337863	-0.133830620544	0.174253958407	-0.199260015483	0.176147587098	0.247986331462	0.997071027581	FAILED_DELTA
wrapper:che>sh	wrapper	che	sh	12	10	0.387092708084	0.446510737996	-0.059418029912	6	0.600000000000	0.038504357291	-0.031862149604	-0.006642207687	-0.042775007628	0.048921253645	0.435196485233	1.000000000000	FAILED_DELTA
right_family:aiin>ar	right_family	aiin	ar	10	7	0.457215398686	0.525139312983	-0.067923914298	2	0.285714285714	0.081454173845	-0.029599434788	-0.051854739058	-0.076015788278	0.060723284113	0.440810349036	1.000000000000	FAILED_DELTA
right_family:NONE>aiin	right_family	NONE	aiin	4	4	0.179667231644	0.261736746166	-0.082069514522	1	0.250000000000	0.063744387333	-0.063613787882	-0.000130599451	-0.059332236196	0.036034121504	0.752501830608	1.000000000000	FAILED_DELTA
right_family:aiin>ain	right_family	aiin	ain	12	8	0.406393633080	0.493048368925	-0.086654735845	5	0.625000000000	-0.041805653760	0.043166759857	-0.001361106097	-0.056906507822	0.054669009879	0.656089821821	1.000000000000	FAILED_DELTA
wrapper:NONE>sh	wrapper	NONE	sh	10	9	0.778195623608	0.906296217342	-0.128100593734	5	0.555555555556	0.061627221266	-0.006275795062	-0.055351426204	-0.096083235360	0.105243087207	0.505979985355	1.000000000000	FAILED_DELTA
wrapper:NONE>ch	wrapper	NONE	ch	23	19	1.359358671192	1.490671438423	-0.131312767232	5	0.263157894737	-0.027321809831	0.011389717178	0.015932092653	-0.076039472069	0.093506261918	0.676592628753	1.000000000000	FAILED_DELTA
wrapper:s>t	wrapper	s	t	4	4	0.576034854359	0.709841647608	-0.133806793248	2	0.500000000000	-0.147913910414	0.149354052479	-0.001440142065	-0.194276816625	0.211120221791	0.496460824994	1.000000000000	FAILED_DELTA
right_family:ain>ar	right_family	ain	ar	8	6	0.452269705653	0.590729371123	-0.138459665470	0	0.000000000000	0.066985762529	-0.021741483218	-0.045244279311	-0.090413292231	0.030939211697	1.000000000000	1.000000000000	FAILED_DELTA
wrapper:d>t	wrapper	d	t	8	8	1.203407160402	1.524465273382	-0.321058112980	4	0.500000000000	0.054314428681	-0.034393190060	-0.019921238621	-0.175867139861	0.210408363166	0.758847937515	1.000000000000	FAILED_DELTA
wrapper:q>sh	wrapper	q	sh	4	4	0.800084407602	1.364681756524	-0.564597348922	0	0.000000000000	0.062133237133	-0.065139490139	0.003006253006	-0.265292277327	0.383634853391	0.872589699780	1.000000000000	FAILED_DELTA
