joint_tuple_id	host_id	coordinate_id	events	folios	sections	registers	wrapper_classes	renderer_state	semantic_state	translation_state
002ebb34f473d5642171	1e6c387a7204441c35b9	dda0ce94b28cdae70cfa	3	3	S|T	OTHER_A|OTHER_B|STARS_RECIPE_B	NONE|d|t	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
00312793854007e036e9	79e3d306f1fa563218d8	dda0ce94b28cdae70cfa	2	2	B|H	HERBAL_B|OTHER_B	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0038f73b9a9d969df923	38cd43d46a5c3b8e21b7	9a86ad2c9bcdc4433a17	1	1	S	STARS_RECIPE_B	d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
004eacf97bdc8717ddfd	afb7246607e76b570593	fb61c4e2699f5c505886	2	2	C|H	HERBAL_B|OTHER_B	NONE|s	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
008201191f11e1aca2ce	d6f3f253668fc117b7ef	b13789bf2874739e46f6	1	1	C	OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
00c64c0f3316b6e54604	5c0778cc45bbda4e5c92	fa436db0093634469c20	1	1	S	STARS_RECIPE_B	d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
00d8ebe3c68294eeac39	bc7e4958f2242f36b088	9a86ad2c9bcdc4433a17	11	9	B|S	OTHER_A|OTHER_B|STARS_RECIPE_B	ch|che	EXECUTABLE_POWERED_CELL	UNASSIGNED	UNASSIGNED
00f69097d1cbe3766b0b	76bde172fd216215ddef	fb61c4e2699f5c505886	1	1	H	HERBAL_A	d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0115b7968b6b998acb6b	330eb5b5a04764d332b7	fc65210860ff69184fdd	5	4	B|C|S	OTHER_B|STARS_RECIPE_B	NONE|q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0173959900644f353442	ebc472ca15c09629277d	b13789bf2874739e46f6	4	4	B|S	OTHER_B|STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
01aa880cd448315f00db	bde429fb8f8a509d4017	fb61c4e2699f5c505886	1	1	S	STARS_RECIPE_B	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
01e21a9148140e5007a3	215b924549713320745b	fb61c4e2699f5c505886	1	1	H	HERBAL_B	che	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0201e6e0129b6274a697	a4f20df323475e838813	fb61c4e2699f5c505886	3	3	H	HERBAL_A	NONE|ch	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0219351c8e5c6dcb6192	c3d1068d9a41c3a6d97f	fb61c4e2699f5c505886	1	1	H	HERBAL_A	d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0224ebde37d330ec7502	5bad3ee165076f5cfe57	f217eb91add9e43ad300	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
026c3c1dad06695364cf	3a1057ec0b9e97782fc9	fb61c4e2699f5c505886	21	13	H	HERBAL_A|HERBAL_B	NONE|ch|d|sh	EXECUTABLE_POWERED_CELL	UNASSIGNED	UNASSIGNED
0275fbf14e07935b0a45	9f107d932090ceb02afa	fb61c4e2699f5c505886	115	29	B|H|P|S|T	HERBAL_A|HERBAL_B|OTHER_A|OTHER_B|STARS_RECIPE_B	NONE|ch|che|q	EXECUTABLE_POWERED_CELL	UNASSIGNED	UNASSIGNED
02be36dbea4f7a202037	2c71c7ca4a5b8aeb1b94	fd8993bdda8e52580636	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
032ebd3c167e9f664c00	eeebb3688b170c4cf95a	62c544e4108c60c3227b	1	1	B	OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
03626ca94cb17800d767	330eb5b5a04764d332b7	b13789bf2874739e46f6	37	21	B|C|H|S|T	HERBAL_B|OTHER_B|STARS_RECIPE_B	NONE|d|q|sh|t	EXECUTABLE_POWERED_CELL	UNASSIGNED	UNASSIGNED
0380c0cde25176b56092	f251349f1a2e7c577515	c63952e1036200b3720a	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
03ab2811a2d26b052477	f9989a584ba9861c0b3b	b13789bf2874739e46f6	2	2	B|S	OTHER_B|STARS_RECIPE_B	sh	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
03d51d0faa1b24af34f9	57c2f5f09d5e75520e6f	fb61c4e2699f5c505886	1	1	H	HERBAL_A	ch	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
03e174437ec561df561b	2b2f2e565ac77dd7e6f6	0d1046a666a789adf544	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
03e64d7835cc804a6541	7dd22dfcc22dc1a2850d	fb61c4e2699f5c505886	2	2	H|S	HERBAL_A|STARS_RECIPE_B	NONE|q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
040f7e08d7608dc61991	c20c2f889c65bd4e4a80	c63952e1036200b3720a	3	3	H|S	HERBAL_A|STARS_RECIPE_B	d|t	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0439e5b79fd0a97f21da	fa086e21cbb4567359ae	fb61c4e2699f5c505886	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
043e5b86c53b710d65ef	848c59ffc6160ffe7e56	fb61c4e2699f5c505886	1	1	S	OTHER_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
046503177d4eb8d965f6	3944140946e813fae1d6	fb61c4e2699f5c505886	1	1	B	OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
047bb07b6e2cee4f6ce5	8094c077c6c02100aaaf	fb61c4e2699f5c505886	1	1	B	OTHER_B	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0480d0167f2ac0d5087a	4d8bb5b85367333c00b2	fb61c4e2699f5c505886	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
04a0a14b748e24d255d4	04ffba0201e06829692f	b13789bf2874739e46f6	1	1	S	STARS_RECIPE_B	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
04a3877f0fc81b7597c9	4e6f20ef2d6daa05d887	b13789bf2874739e46f6	10	10	B|H|S|T	HERBAL_B|OTHER_B|STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
04bf8dd8c875fdbb23be	2aa132a67339b8f7b2eb	fb61c4e2699f5c505886	1	1	S	STARS_RECIPE_B	sh	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
04c4a22e1e2be0ef87e6	29ae7384a8acb6bc8881	fb61c4e2699f5c505886	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
04d4b83495c5ad9a2548	2b67dd211b7ef8453882	b13789bf2874739e46f6	3	3	B|S	OTHER_B|STARS_RECIPE_B	NONE|q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
05b1cfcf2288ca7a1481	bac2447db64ff58c3c04	b4cf3d4564167ed1daee	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
05c0722a243962ce8bd5	7d2da07b1c4bd16d1b8a	fb61c4e2699f5c505886	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
05d02a4c7d6949f3c712	e137e8d5c8fa9694fb85	fb61c4e2699f5c505886	1	1	H	HERBAL_A	d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
05f2f66e7050b6d191cf	2f533828e42583271055	62c544e4108c60c3227b	2	2	H	HERBAL_A	ch|q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0624a2d057f60b99ad1e	9feae1594314657872c2	fa436db0093634469c20	53	22	B|H|S|T	HERBAL_A|HERBAL_B|OTHER_B|STARS_RECIPE_B	NONE|ch|q	EXECUTABLE_POWERED_CELL	UNASSIGNED	UNASSIGNED
06459650d93e4d93468f	85e8e535fcdb417bee98	fb61c4e2699f5c505886	2	2	H|S	HERBAL_A|STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
06e502358d395ef3f47a	ea1313b68271841a0d8e	fb61c4e2699f5c505886	1	1	B	OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
06fcc275be3d762d0e47	52c278250f5882900047	9a86ad2c9bcdc4433a17	1	1	H	HERBAL_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
071e6bdfc668979311a0	b3c7e9e2ec0e93e7cd5e	fb61c4e2699f5c505886	5	5	B|H|S	HERBAL_A|OTHER_B|STARS_RECIPE_B	NONE|che|sh	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0721459111711b4841e8	a38ddb07af136b71b09c	fb61c4e2699f5c505886	2	2	H|T	HERBAL_A|OTHER_B	NONE|d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0725f38238ed5d8a0047	77482abf05eaa0478d5f	fb61c4e2699f5c505886	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
072e087cb9a699b9dde7	e8691dceb2c8536df325	9a86ad2c9bcdc4433a17	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
07443e846757a940452b	59a4b51d712c9afad765	dda0ce94b28cdae70cfa	3	3	H|S	HERBAL_B|STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
07515054a8d05c16456a	f39624e1d1023bc8825e	c199e523e70f794422c4	1	1	H	HERBAL_A	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
07913ef9b1fb773cd325	9e8523b0c10a2b897602	b13789bf2874739e46f6	16	10	B|C|S	OTHER_B|STARS_RECIPE_B	NONE|ch|q	EXECUTABLE_POWERED_CELL	UNASSIGNED	UNASSIGNED
07988785cb96b23d66c4	45aa1674f6e75ea648b3	fb61c4e2699f5c505886	3	3	H|T	HERBAL_A|OTHER_B	NONE|q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
079e895066e5e56466c8	85c9b1753b0f2e2620a7	fb61c4e2699f5c505886	1	1	B	OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0820447e0cb3944da738	23d4997b8a48b942f703	fb61c4e2699f5c505886	2	2	H	HERBAL_A	NONE|d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0826f0c89fd83c658c74	53becd3d8b4db7d1d895	fb61c4e2699f5c505886	5	5	H	HERBAL_A	NONE|q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
08671a5227e667da513d	87ce2dd34f8d03e2073e	fa436db0093634469c20	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0878b0cd6d13714fcccc	c3670fb7daa2918add7f	fb61c4e2699f5c505886	1	1	H	HERBAL_A	d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
087a47b5423438cd6b6a	cd20a3c23b9dd1e8e38a	fb61c4e2699f5c505886	3	3	H	HERBAL_A	ch|q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
08bd5ca0c2ad137a056d	a4c5d52183c9240a8e29	fb61c4e2699f5c505886	40	22	B|H|S|T	HERBAL_A|HERBAL_B|OTHER_A|OTHER_B|STARS_RECIPE_B	NONE|ch|che|q|sh	EXECUTABLE_POWERED_CELL	UNASSIGNED	UNASSIGNED
08d27291125c29e4ff98	93beea1fbb8f67daf000	fb61c4e2699f5c505886	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
090dc38bb2637c5ba3fe	38bacfe1aa90e707b837	fb61c4e2699f5c505886	22	16	B|H|S	HERBAL_A|HERBAL_B|OTHER_B|STARS_RECIPE_B	NONE|ch|sh	EXECUTABLE_POWERED_CELL	UNASSIGNED	UNASSIGNED
09239e115adae3150628	8131818a736db3e2e2c4	fb61c4e2699f5c505886	2	2	H	HERBAL_A	NONE|sh	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
094e207a2f25c4dd452a	4d030ff475e202535671	4ad4f33a1ebbfa6077c6	1	1	S	STARS_RECIPE_B	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0976d7b035ef43d666bb	0efc36f1e405f984de77	fb61c4e2699f5c505886	1	1	H	HERBAL_A	s	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
09843658b3d3afe4d81c	9637319b8a5abd346af8	b13789bf2874739e46f6	1	1	H	HERBAL_A	t	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0a200a2abf190a7b3c41	b2d9a326d674d1b122e1	b13789bf2874739e46f6	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0a29e114b410659e2424	e0a6f7e468d284903d4e	fb61c4e2699f5c505886	2	2	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0a2e90c48be5de1e4164	f8af99daedbe33f45fec	b13789bf2874739e46f6	7	5	H|S|T	HERBAL_B|OTHER_B|STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0a385fd4b34c6b04be92	7e2622fcc17bb126466f	fb61c4e2699f5c505886	3	3	H|P	HERBAL_A|OTHER_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0a3e61550f9d93d37c8d	fcfb09a2c5ced4ea5f6a	fb61c4e2699f5c505886	1	1	S	OTHER_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0a71caeedd2fc3188815	ca5440cc105cbdb7e4dd	c63952e1036200b3720a	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0a71e811a44c97b79b57	4e6f20ef2d6daa05d887	0d1046a666a789adf544	1	1	S	STARS_RECIPE_B	ch	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0aa37cd1b5e88dc8f9af	bc1de9bb397f1e8b479b	62c544e4108c60c3227b	25	16	B|H|S|T	HERBAL_A|HERBAL_B|OTHER_A|OTHER_B|STARS_RECIPE_B	NONE|ch|che|s|sh	EXECUTABLE_POWERED_CELL	UNASSIGNED	UNASSIGNED
0ab57b7166de99db3a55	717621e96f8ce4a996a8	fb61c4e2699f5c505886	4	3	B|S	OTHER_B|STARS_RECIPE_B	NONE|d	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0aecab5d6b5f94a050dc	7ef242e86742f25ed3c4	fb61c4e2699f5c505886	1	1	B	OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0aff77c250adb12f8eec	cfd102e41d862b8bc371	fb61c4e2699f5c505886	1	1	H	HERBAL_A	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0b0d3f7a4f0952ca1659	6a3e441c5427f65084ff	b13789bf2874739e46f6	3	1	T	OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0b1a30e5943d246ec89f	d8ed9c3dda694c4f8925	fb61c4e2699f5c505886	1	1	B	OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0b29e96977f3c28c27c3	c3f50348642969a4dc13	3733a056ae04c4305665	1	1	B	OTHER_B	che	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0b7616734b8fed7bfcb9	acf886cc39d478345dcb	fb61c4e2699f5c505886	2	2	H|T	HERBAL_A|OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0b8b49cb4eb60eaa16f4	cd2d7ecf85594e6b672a	dda0ce94b28cdae70cfa	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0ba17ed6de30f7797c7f	ad0897d87744b39f9589	fb61c4e2699f5c505886	1	1	H	HERBAL_A	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0bdc8b6db811b4e67a63	f4803b5807ea6d48db49	fb61c4e2699f5c505886	15	13	B|C|H|S|T	HERBAL_A|HERBAL_B|OTHER_B|STARS_RECIPE_B	NONE|ch|d|s	EXECUTABLE_POWERED_CELL	UNASSIGNED	UNASSIGNED
0bf5b28b5649066313ca	7071f41756a3c1a5b38c	fb61c4e2699f5c505886	20	16	H|P|S|T	HERBAL_A|HERBAL_B|OTHER_A|OTHER_B|STARS_RECIPE_B	NONE|ch|che|q|sh	EXECUTABLE_POWERED_CELL	UNASSIGNED	UNASSIGNED
0c283e6942bece64a413	6d10e3ee23fc506ec7d8	b13789bf2874739e46f6	1	1	H	HERBAL_B	q	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0c3333436c464d6e52a4	c651dd7564b2124235a6	fb61c4e2699f5c505886	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0c5a707997341ac8a1e4	b441ca88b66d54dac5d3	c63952e1036200b3720a	1	1	S	STARS_RECIPE_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0c656d1e474488591c1f	6634fdf297b51e42cae3	b13789bf2874739e46f6	2	2	H	HERBAL_B	NONE|che	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0d082a919efa2eaee33e	d161022c458c1e86805a	b13789bf2874739e46f6	1	1	C	OTHER_B	NONE	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
0d85ca5bbbd3d4a1fa1e	a441f5100f005c2f988c	fb61c4e2699f5c505886	1	1	H	HERBAL_A	sh	UNLICENSED_OR_UNKNOWN	UNASSIGNED	UNASSIGNED
