panel	language_id	glottocode	family	parameter_id	concepticon_gloss	asjp_form_id	phoneme_segments	source_record_count_for_concept	loan_flag_retained_not_selected_on
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	1	I	GEORGIAN-1-1	m a	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	2	THOU	GEORGIAN-2-1	ʃ a n	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	3	WE	GEORGIAN-3-1	tʃ h v a n	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	11	ONE	GEORGIAN-11-1	a r tʰ i	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	12	TWO	GEORGIAN-12-1	o r i	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	18	PERSON	GEORGIAN-18-1	pʼ i r i	2	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	19	FISH	GEORGIAN-19-1	tʰ a v z i	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	21	DOG	GEORGIAN-21-1	ts ɐ l i	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	22	LOUSE	GEORGIAN-22-1	tʼ i l i	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	23	TREE	GEORGIAN-23-1	x a	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	25	LEAF	GEORGIAN-25-1	pʰ o tʰ o l i	2	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	28	SKIN	GEORGIAN-28-1	tʼ qʼ ɐ v i	2	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	30	BLOOD	GEORGIAN-30-1	s i sˠ l i	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	31	BONE	GEORGIAN-31-1	ts v ɐ l i	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	34	HORN (ANATOMY)	GEORGIAN-34-1	r kʰ ɐ	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	39	EAR	GEORGIAN-39-1	qʼ u r i	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	40	EYE	GEORGIAN-40-1	t h v ɐ l i	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	41	NOSE	GEORGIAN-41-1	ts x v i r i	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	43	TOOTH	GEORGIAN-43-1	kʼ b i l i	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	44	TONGUE	GEORGIAN-44-1	a n ɐ	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	47	KNEE	GEORGIAN-47-1	m u l i	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	48	HAND	GEORGIAN-48-1	x a l i	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	51	BREAST	GEORGIAN-51-1	m kʼ a r d i	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	53	LIVER	GEORGIAN-53-1	x v i ts l i	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	54	DRINK	GEORGIAN-54-1	s m ɐ	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	57	SEE	GEORGIAN-57-1	x a d v ɐ	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	58	HEAR	GEORGIAN-58-1	s m a n ɐ	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	61	DIE	GEORGIAN-61-1	kʼ v d o m ɐ	2	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	66	COME	GEORGIAN-66-1	m o s v l ɐ	1	false
KARTVELIAN_TARGET	GEORGIAN	nucl1302	Kartvelian	72	SUN	GEORGIAN-72-1	m z a	1	false
