language_id	panel	aggregate_held_bits	aggregate_held_source_members	aggregate_held_bits_per_member	rank_all_languages	cross_fold_all_code_exact_agreement	cross_fold_frequent_code_exact_agreement	frequent_code_count	unique_retained_mapping_hashes	within_fold_restart_exact_agreement_mean	folds_beating_random_map_median
GEORGIAN	KARTVELIAN_TARGET	100101.940298864	19794	5.057186031	9	0.379208754	0.396363636	25	11	0.332561728	12
MINGRELIAN	KARTVELIAN_TARGET	99033.489567084	19794	5.003207516	7	0.321548822	0.325454545	25	12	0.305555556	12
LAZ	KARTVELIAN_TARGET	103602.804752179	19794	5.234050963	10	0.417929293	0.444848485	25	12	0.321759259	12
SVAN	KARTVELIAN_TARGET	103782.178391254	19794	5.243112983	11	0.321127946	0.336363636	25	11	0.243827160	12
ARMENIAN	UNRELATED_CONTROL	99062.626989255	19794	5.004679549	8	0.551767677	0.570909091	25	10	0.312500000	12
CHECHEN	UNRELATED_CONTROL	95716.055298026	19794	4.835609543	6	0.742845118	0.736969697	25	10	0.515432099	12
AVAR	UNRELATED_CONTROL	105181.763583526	19794	5.313820531	12	0.409511785	0.415757576	25	11	0.313271605	12
BASQUE	UNRELATED_CONTROL	83693.411284848	19794	4.228221243	1	0.311868687	0.324848485	25	12	0.401234568	12
TURKISH	UNRELATED_CONTROL	91639.815794399	19794	4.629676457	4	0.601010101	0.606060606	25	12	0.364969136	12
GREEK	UNRELATED_CONTROL	92931.195892911	19794	4.694917444	5	0.303451178	0.320606061	25	11	0.235339506	12
ARABIC_QURANIC	UNRELATED_CONTROL	88741.959929715	19794	4.483275737	3	0.407828283	0.438787879	25	11	0.297839506	12
FINNISH	UNRELATED_CONTROL	83971.663967919	19794	4.242278669	2	0.515151515	0.547878788	25	11	0.264660494	12
