record	at	word	site	site_word	water	target	target_word	missing	wet_producer	cross_record	row_status
F83_P1	f83r.2:10	chedy	f83r.2:3	qokaiin				water			recorded
F83_P1	f83r.4:2	chedy	f83r.3:8	qokaiin				water			recorded
F83_P1	f83r.4:3	qokedy	f83r.3:8	qokaiin							recorded
F83_P1	f83r.4:9	chedy	f83r.4:7	shedy				water			recorded
F83_P1	f83r.6:6	chedy	f83r.6:5	qokaiin	f83r.5:7						recorded
F83_P1	f83r.6:7	qokeedy	f83r.6:5	qokaiin	f83r.5:7	f83r.6:8	lchedy				recorded
F83_P1	f83r.7:8	qokedy	f83r.6:8	lchedy					f83r.6:7		recorded
F83_P1	f83r.8:5	chedy	f83r.6:8	lchedy	f83r.5:7						recorded
F83_P2	f83r.9:3	qokedy						site			recorded
F83_P2	f83r.11:6	qokedy	f83r.11:3	qokaiin							recorded
F83_P2	f83r.12:8	qokedy	f83r.11:9	lchedy							recorded
F83_P2	f83r.13:7	qokedy	f83r.13:3	shedy							recorded
F83_P2	f83r.14:2	qokeedy	f83r.13:3	shedy		f83r.14:3	shedy	water			recorded
F83_P2	f83r.16:5	chedy	f83r.15:9	lchedy				water			recorded
F83_P3	f83r.20:4	qokedy	f83r.19:11	lchedy							recorded
F83_P3	f83r.20:7	qokedy	f83r.19:11	lchedy							recorded
F83_P3	f83r.21:2	qokedy	f83r.19:11	lchedy							recorded
F83_P3	f83r.21:5	chedy	f83r.19:11	lchedy	f83r.20:3						recorded
F83_P3	f83r.21:8	qokedy	f83r.19:11	lchedy					f83r.21:5		recorded
F83_P3	f83r.22:3	qokeedy	f83r.19:11	lchedy	f83r.20:3			target			recorded
F83_P3	f83r.22:5	chedy	f83r.19:11	lchedy	f83r.20:3						recorded
F83_P3	f83r.23:5	qokedy	f83r.23:4	shedy							recorded
F83_P3	f83r.23:9	chedy	f83r.23:4	shedy	f83r.20:3						recorded
F83_P4	f83r.25:1	qokeedy						site,water,target			recorded
F83_P4	f83r.25:4	qokedy						site			recorded
F83_P4	f83r.25:5	chedy			f83r.25:3			site			recorded
F83_P4	f83r.27:2	chedy	f83r.26:5	shedy	f83r.26:2						recorded
F83_P4	f83r.27:3	qokeedy	f83r.26:5	shedy	f83r.26:2			target			recorded
F83_P4	f83r.28:4	qokedy	f83r.26:5	shedy					f83r.27:2		recorded
F83_P4	f83r.30:3	qokeedy	f83r.28:5	shedy	f83r.26:2			target			recorded
F83_P5	f83r.42:5	chedy	f83r.41:2	lchedy				water			recorded
F83_P5	f83r.43:3	chedy	f83r.41:2	lchedy				water			recorded
F83_Q1	f83r.49:3	chedy						site,water			recorded
