record	at	word	left	right	issues	row_status
F83_P1	f83r.2:1	sol		f83r.2:7	no_left_state	recorded
F83_P1	f83r.3:4	chey		f83r.4:2		recorded
F83_P1	f83r.3:6	chey		f83r.4:2		recorded
F83_P1	f83r.6:3	qokal	f83r.5:9	f83r.6:6		recorded
F83_P2	f83r.12:9	qokal	f83r.12:8	f83r.13:7		recorded
F83_P2	f83r.15:4	chey		f83r.16:5		recorded
F83_P3	f83r.20:5	sol	f83r.20:4	f83r.20:7		recorded
F83_P3	f83r.21:4	sol	f83r.21:2	f83r.21:5		recorded
F83_P3	f83r.23:3	qokal	f83r.22:5	f83r.23:5	no_left_state	recorded
F83_P5	f83r.37:1	sol			no_left_state,no_right_predicate	recorded
F83_P5	f83r.38:2	chey			no_right_predicate	recorded
F83_P5	f83r.42:1	sol		f83r.42:5	no_left_state	recorded
F83_Q1	f83r.49:1	sol		f83r.49:3	no_left_state,right_unbound_material	recorded
F83_Q2	f83r.54:4	chey			no_right_predicate	recorded
F83_Q2	f83r.55:1	sol			no_left_state,no_right_predicate	recorded
