mode	package	page	record	line	locus	word	value	dimension	reference	reference_source	status	row_status
E	BATH3	f83r	F83_P1	f83r.3	f83r.3:5	daiin	Q	MATERIAL_AMOUNT	shedy	f83r.1:6	BOUND	recorded
E	BATH3	f83r	F83_P1	f83r.4	f83r.4:5	daiin	Q	MATERIAL_AMOUNT	lchedy	f83r.3:7	BOUND	recorded
E	HERB4	f21r	f21r	f21r.12	f21r.12:7	daiin	Q	MATERIAL_AMOUNT	chor	f21r.12:5	BOUND	recorded
E	HERB4	f32v	f32v	f32v.7	f32v.7:7	dain	R	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
E	HERB4	f32v	f32v	f32v.8	f32v.8:2	daiin	Q	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
E	HERB4	f32v	f32v	f32v.8	f32v.8:3	daiin	Q	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
E	HERB4	f32v	f32v	f32v.8	f32v.8:5	daiin	Q	MATERIAL_AMOUNT	ctho	f32v.8:4	BOUND	recorded
E	HERB4	f32v	f32v	f32v.9	f32v.9:5	daiin	Q	MATERIAL_AMOUNT	ctho	f32v.8:4	BOUND	recorded
E	HERB4	f32v	f32v	f32v.9	f32v.9:7	daiin	Q	MATERIAL_AMOUNT	cthaiin	f32v.9:6	BOUND	recorded
E	HERB4	f32v	f32v	f32v.10	f32v.10:5	daiin	Q	MATERIAL_AMOUNT	chor	f32v.10:3	BOUND	recorded
E	HERB4	f29v	f29v	f29v.1	f29v.1:11	daiin	Q	MATERIAL_AMOUNT	cthy	f29v.1:7	BOUND	recorded
E	BATH3	f83r	F83_P2	f83r.10	f83r.10:7	dain	R	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
E	BATH3	f83r	F83_P4	f83r.27	f83r.27:1	dain	R	MATERIAL_AMOUNT	shedy	f83r.26:5	BOUND	recorded
E	BATH3	f83r	F83_P5	f83r.43	f83r.43:1	daiin	Q	MATERIAL_AMOUNT	lchedy	f83r.41:2	BOUND	recorded
E	BATH3	f83r	F83_Q2	f83r.54	f83r.54:1	daiin	Q	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
E	BATH3	f83r	F83_Q2	f83r.54	f83r.54:3	dain	R	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
E	BATH3	f77r	F77_P1	f77r.18	f77r.18:1	daiin	Q	MATERIAL_AMOUNT	shedy	f77r.16:5	BOUND	recorded
E	BATH3	f77r	F77_P1	f77r.24	f77r.24:1	daiin	Q	MATERIAL_AMOUNT	lchedy	f77r.23:4	BOUND	recorded
E	BATH3	f77r	F77_P2	f77r.33	f77r.33:1	daiin	Q	MATERIAL_AMOUNT	shedy	f77r.27:4	BOUND	recorded
E	BATH3	f77r	F77_P3	f77r.41	f77r.41:1	daiin	Q	MATERIAL_AMOUNT	okaiin	f77r.40:4	BOUND	recorded
E	BATH3	f77r	F77_P3	f77r.46	f77r.46:1	daiin	Q	MATERIAL_AMOUNT	okaiin	f77r.40:4	BOUND	recorded
E	BATH3	f77r	F77_P3	f77r.46	f77r.46:8	daiin	Q	MATERIAL_AMOUNT	okaiin	f77r.40:4	BOUND	recorded
E	BATH3	f82r	F82_P1	f82r.1	f82r.1:3	daiin	Q	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
E	BATH3	f82r	F82_P1	f82r.1	f82r.1:7	daiin	Q	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
E	BATH3	f82r	F82_P2	f82r.15	f82r.15:8	daiin	Q	MATERIAL_AMOUNT	lchedy	f82r.15:2	BOUND	recorded
E	BATH3	f82r	F82_P3	f82r.21	f82r.21:1	daiin	Q	MATERIAL_AMOUNT	shedy	f82r.20:8	BOUND	recorded
E	BATH3	f82r	F82_P3	f82r.21	f82r.21:5	daiin	Q	MATERIAL_AMOUNT	shedy	f82r.20:8	BOUND	recorded
E	BATH3	f82r	F82_P3	f82r.23	f82r.23:5	daiin	Q	MATERIAL_AMOUNT	shedy	f82r.20:8	BOUND	recorded
N	BATH3	f83r	F83_P1	f83r.3	f83r.3:5	daiin	Q	MATERIAL_AMOUNT	shedy	f83r.1:6	BOUND	recorded
N	BATH3	f83r	F83_P1	f83r.4	f83r.4:5	daiin	Q	MATERIAL_AMOUNT	lchedy	f83r.3:7	BOUND	recorded
N	HERB4	f21r	f21r	f21r.12	f21r.12:7	daiin	Q	MATERIAL_AMOUNT	chor	f21r.12:5	BOUND	recorded
N	HERB4	f32v	f32v	f32v.7	f32v.7:7	dain	Q	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
N	HERB4	f32v	f32v	f32v.8	f32v.8:2	daiin	Q	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
N	HERB4	f32v	f32v	f32v.8	f32v.8:3	daiin	Q	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
N	HERB4	f32v	f32v	f32v.8	f32v.8:5	daiin	Q	MATERIAL_AMOUNT	ctho	f32v.8:4	BOUND	recorded
N	HERB4	f32v	f32v	f32v.9	f32v.9:5	daiin	Q	MATERIAL_AMOUNT	ctho	f32v.8:4	BOUND	recorded
N	HERB4	f32v	f32v	f32v.9	f32v.9:7	daiin	Q	MATERIAL_AMOUNT	cthain	f32v.9:6	BOUND	recorded
N	HERB4	f32v	f32v	f32v.10	f32v.10:5	daiin	Q	MATERIAL_AMOUNT	chor	f32v.10:3	BOUND	recorded
N	HERB4	f29v	f29v	f29v.1	f29v.1:11	daiin	Q	MATERIAL_AMOUNT	cthy	f29v.1:7	BOUND	recorded
N	BATH3	f83r	F83_P2	f83r.10	f83r.10:7	dain	Q	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
N	BATH3	f83r	F83_P4	f83r.27	f83r.27:1	dain	Q	MATERIAL_AMOUNT	shedy	f83r.26:5	BOUND	recorded
N	BATH3	f83r	F83_P5	f83r.43	f83r.43:1	daiin	Q	MATERIAL_AMOUNT	lchedy	f83r.41:2	BOUND	recorded
N	BATH3	f83r	F83_Q2	f83r.54	f83r.54:1	daiin	Q	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
N	BATH3	f83r	F83_Q2	f83r.54	f83r.54:3	dain	Q	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
N	BATH3	f77r	F77_P1	f77r.18	f77r.18:1	daiin	Q	MATERIAL_AMOUNT	shedy	f77r.16:5	BOUND	recorded
N	BATH3	f77r	F77_P1	f77r.24	f77r.24:1	daiin	Q	MATERIAL_AMOUNT	lchedy	f77r.23:4	BOUND	recorded
N	BATH3	f77r	F77_P2	f77r.33	f77r.33:1	daiin	Q	MATERIAL_AMOUNT	shedy	f77r.27:4	BOUND	recorded
N	BATH3	f77r	F77_P3	f77r.41	f77r.41:1	daiin	Q	MATERIAL_AMOUNT	okain	f77r.40:4	BOUND	recorded
N	BATH3	f77r	F77_P3	f77r.46	f77r.46:1	daiin	Q	MATERIAL_AMOUNT	okain	f77r.40:4	BOUND	recorded
N	BATH3	f77r	F77_P3	f77r.46	f77r.46:8	daiin	Q	MATERIAL_AMOUNT	okain	f77r.40:4	BOUND	recorded
N	BATH3	f82r	F82_P1	f82r.1	f82r.1:3	daiin	Q	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
N	BATH3	f82r	F82_P1	f82r.1	f82r.1:7	daiin	Q	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
N	BATH3	f82r	F82_P2	f82r.15	f82r.15:8	daiin	Q	MATERIAL_AMOUNT	lchedy	f82r.15:2	BOUND	recorded
N	BATH3	f82r	F82_P3	f82r.21	f82r.21:1	daiin	Q	MATERIAL_AMOUNT	shedy	f82r.20:8	BOUND	recorded
N	BATH3	f82r	F82_P3	f82r.21	f82r.21:5	daiin	Q	MATERIAL_AMOUNT	shedy	f82r.20:8	BOUND	recorded
N	BATH3	f82r	F82_P3	f82r.23	f82r.23:5	daiin	Q	MATERIAL_AMOUNT	shedy	f82r.20:8	BOUND	recorded
G	BATH3	f83r	F83_P1	f83r.3	f83r.3:5	daiin	Q	DURATION	chedy	f83r.2:10	BOUND	recorded
G	BATH3	f83r	F83_P1	f83r.4	f83r.4:5	daiin	Q	DURATION	chedy	f83r.4:2	BOUND	recorded
G	HERB4	f21r	f21r	f21r.12	f21r.12:7	daiin	Q	MATERIAL_AMOUNT	chor	f21r.12:5	BOUND	recorded
G	HERB4	f32v	f32v	f32v.7	f32v.7:7	dain	R	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
G	HERB4	f32v	f32v	f32v.8	f32v.8:2	daiin	Q	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
G	HERB4	f32v	f32v	f32v.8	f32v.8:3	daiin	Q	MATERIAL_AMOUNT	NA	NA	MISSING_REFERENCE	recorded
G	HERB4	f32v	f32v	f32v.8	f32v.8:5	daiin	Q	MATERIAL_AMOUNT	ctho	f32v.8:4	BOUND	recorded
G	HERB4	f32v	f32v	f32v.9	f32v.9:5	daiin	Q	MATERIAL_AMOUNT	ctho	f32v.8:4	BOUND	recorded
G	HERB4	f32v	f32v	f32v.9	f32v.9:7	daiin	Q	MATERIAL_AMOUNT	cthaiin	f32v.9:6	BOUND	recorded
G	HERB4	f32v	f32v	f32v.10	f32v.10:5	daiin	Q	MATERIAL_AMOUNT	chor	f32v.10:3	BOUND	recorded
G	HERB4	f29v	f29v	f29v.1	f29v.1:11	daiin	Q	MATERIAL_AMOUNT	cthy	f29v.1:7	BOUND	recorded
G	BATH3	f83r	F83_P2	f83r.10	f83r.10:7	dain	R	DURATION	NA	NA	MISSING_REFERENCE	recorded
G	BATH3	f83r	F83_P4	f83r.27	f83r.27:1	dain	R	DURATION	NA	NA	MISSING_REFERENCE	recorded
G	BATH3	f83r	F83_P5	f83r.43	f83r.43:1	daiin	Q	DURATION	chedy	f83r.42:5	BOUND	recorded
G	BATH3	f83r	F83_Q2	f83r.54	f83r.54:1	daiin	Q	DURATION	NA	NA	MISSING_REFERENCE	recorded
G	BATH3	f83r	F83_Q2	f83r.54	f83r.54:3	dain	R	DURATION	NA	NA	MISSING_REFERENCE	recorded
G	BATH3	f77r	F77_P1	f77r.18	f77r.18:1	daiin	Q	DURATION	qokeedy	f77r.17:8	BOUND	recorded
G	BATH3	f77r	F77_P1	f77r.24	f77r.24:1	daiin	Q	DURATION	chedy	f77r.23:7	BOUND	recorded
G	BATH3	f77r	F77_P2	f77r.33	f77r.33:1	daiin	Q	DURATION	qokeedy	f77r.29:4	BOUND	recorded
G	BATH3	f77r	F77_P3	f77r.41	f77r.41:1	daiin	Q	DURATION	NA	NA	MISSING_REFERENCE	recorded
G	BATH3	f77r	F77_P3	f77r.46	f77r.46:1	daiin	Q	DURATION	qokeedy	f77r.42:4	BOUND	recorded
G	BATH3	f77r	F77_P3	f77r.46	f77r.46:8	daiin	Q	DURATION	qokeedy	f77r.42:4	BOUND	recorded
G	BATH3	f82r	F82_P1	f82r.1	f82r.1:3	daiin	Q	DURATION	NA	NA	MISSING_REFERENCE	recorded
G	BATH3	f82r	F82_P1	f82r.1	f82r.1:7	daiin	Q	DURATION	NA	NA	MISSING_REFERENCE	recorded
G	BATH3	f82r	F82_P2	f82r.15	f82r.15:8	daiin	Q	DURATION	qokeedy	f82r.15:4	BOUND	recorded
G	BATH3	f82r	F82_P3	f82r.21	f82r.21:1	daiin	Q	DURATION	NA	NA	MISSING_REFERENCE	recorded
G	BATH3	f82r	F82_P3	f82r.21	f82r.21:5	daiin	Q	DURATION	NA	NA	MISSING_REFERENCE	recorded
G	BATH3	f82r	F82_P3	f82r.23	f82r.23:5	daiin	Q	DURATION	chedy	f82r.21:8	BOUND	recorded
