candidate	world	location	form	patient	debts	limit	row_status
H	E|ZL3b|B|f9v|f9v.5-f9v.12	f9v.8:3	qokcho	f9v.7:6	UNREAD_BETWEEN:f9v.7:8;UNREAD_BETWEEN:f9v.8:1;IMPLICIT_SUBJECT_CONTINUATION	CATEGORICAL_HOT_TO_WARM_ASSIGNMENT_NOT_A_PROVEN_PHYSICAL_COOLING_OR_HEAT_MAINTENANCE	recorded
H	E|ZL3b|J|f9v|f9v.5-f9v.12	f9v.8:3	qokcho	f9v.7:6	UNREAD_BETWEEN:f9v.7:8;UNREAD_BETWEEN:f9v.8:1;IMPLICIT_SUBJECT_CONTINUATION	CATEGORICAL_HOT_TO_WARM_ASSIGNMENT_NOT_A_PROVEN_PHYSICAL_COOLING_OR_HEAT_MAINTENANCE	recorded
H	E|ZL3b|M|f9v|f9v.5-f9v.12	f9v.8:3	qokcho	f9v.7:6	UNREAD_BETWEEN:f9v.7:8;UNREAD_BETWEEN:f9v.8:1;IMPLICIT_SUBJECT_CONTINUATION	CATEGORICAL_HOT_TO_WARM_ASSIGNMENT_NOT_A_PROVEN_PHYSICAL_COOLING_OR_HEAT_MAINTENANCE	recorded
D	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:2	okeey	f17v.20:3		CATEGORICAL_HOT_TO_WARM_ASSIGNMENT_NOT_A_PROVEN_PHYSICAL_COOLING_OR_HEAT_MAINTENANCE	recorded
H	E|ZL3b|B|f17v|f17v.1-f17v.23	f17v.20:2	okeey	f17v.20:3		CATEGORICAL_HOT_TO_WARM_ASSIGNMENT_NOT_A_PROVEN_PHYSICAL_COOLING_OR_HEAT_MAINTENANCE	recorded
D	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.20:3		CATEGORICAL_HOT_TO_WARM_ASSIGNMENT_NOT_A_PROVEN_PHYSICAL_COOLING_OR_HEAT_MAINTENANCE	recorded
H	E|ZL3b|J|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.20:3		CATEGORICAL_HOT_TO_WARM_ASSIGNMENT_NOT_A_PROVEN_PHYSICAL_COOLING_OR_HEAT_MAINTENANCE	recorded
D	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.20:3		CATEGORICAL_HOT_TO_WARM_ASSIGNMENT_NOT_A_PROVEN_PHYSICAL_COOLING_OR_HEAT_MAINTENANCE	recorded
H	E|ZL3b|M|f17v|f17v.1-f17v.23	f17v.20:1	ykeey	f17v.20:3		CATEGORICAL_HOT_TO_WARM_ASSIGNMENT_NOT_A_PROVEN_PHYSICAL_COOLING_OR_HEAT_MAINTENANCE	recorded
H	E|ZL3b|B|f45v|f45v.5-f45v.11	f45v.9:4	qokom	f45v.9:2		CATEGORICAL_HOT_TO_WARM_ASSIGNMENT_NOT_A_PROVEN_PHYSICAL_COOLING_OR_HEAT_MAINTENANCE	recorded
H	E|ZL3b|J|f45v|f45v.5-f45v.11	f45v.9:4	qokom	f45v.9:2		CATEGORICAL_HOT_TO_WARM_ASSIGNMENT_NOT_A_PROVEN_PHYSICAL_COOLING_OR_HEAT_MAINTENANCE	recorded
H	E|ZL3b|M|f45v|f45v.5-f45v.11	f45v.9:4	qokom	f45v.9:2		CATEGORICAL_HOT_TO_WARM_ASSIGNMENT_NOT_A_PROVEN_PHYSICAL_COOLING_OR_HEAT_MAINTENANCE	recorded
D	E|ZL3b|B|f99r|f99r.47-f99r.52	f99r.51:7	okeey	f99r.49:6	UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:1;UNREAD_BETWEEN:f99r.50:4;UNREAD_BETWEEN:f99r.50:5;UNREAD_BETWEEN:f99r.50:7;UNREAD_BETWEEN:f99r.51:1;UNREAD_BETWEEN:f99r.51:2;UNREAD_BETWEEN:f99r.51:3;UNREAD_BETWEEN:f99r.51:6;IMPLICIT_SUBJECT_CONTINUATION	CATEGORICAL_HOT_TO_WARM_ASSIGNMENT_NOT_A_PROVEN_PHYSICAL_COOLING_OR_HEAT_MAINTENANCE	recorded
