paragraph	id	locus	index	form	role	offset	row_status
f17r.4-f17r.6	f17r.4:1	f17r.4	1	tcho	OPEN	0	recorded
f17r.4-f17r.6	f17r.4:2	f17r.4	2	shol	STATE	1	recorded
f17r.4-f17r.6	f17r.4:3	f17r.4	3	qokol	MATERIAL	2	recorded
f17r.4-f17r.6	f17r.4:4	f17r.4	4	qor	OPEN	3	recorded
f17r.4-f17r.6	f17r.4:5	f17r.4	5	olaiin	OPEN	4	recorded
f17r.4-f17r.6	f17r.4:6	f17r.4	6	opydg	OPEN	5	recorded
f17r.4-f17r.6	f17r.4:7	f17r.4	7	som	OPEN	6	recorded
f17r.4-f17r.6	f17r.4:8	f17r.4	8	ypchy	OPEN	7	recorded
f17r.4-f17r.6	f17r.4:9	f17r.4	9	ypaim	OPEN	8	recorded
f17r.4-f17r.6	f17r.5:1	f17r.5	1	ychekchy	OPEN	9	recorded
f17r.4-f17r.6	f17r.5:2	f17r.5	2	cthy	MATERIAL	10	recorded
f17r.4-f17r.6	f17r.5:3	f17r.5	3	chor	MATERIAL	11	recorded
f17r.4-f17r.6	f17r.5:4	f17r.5	4	shor	MATERIAL	12	recorded
f17r.4-f17r.6	f17r.5:5	f17r.5	5	cphor	OPEN	13	recorded
f17r.4-f17r.6	f17r.5:6	f17r.5	6	cphaldy	OPEN	14	recorded
f17r.4-f17r.6	f17r.5:7	f17r.5	7	dair	AMOUNT	15	recorded
f17r.4-f17r.6	f17r.5:8	f17r.5	8	cthey	OPEN	16	recorded
f17r.4-f17r.6	f17r.5:9	f17r.5	9	qody	OPEN	17	recorded
f17r.4-f17r.6	f17r.6:1	f17r.6	1	tsho	OPEN	18	recorded
f17r.4-f17r.6	f17r.6:2	f17r.6	2	qof	OPEN	19	recorded
f17r.4-f17r.6	f17r.6:3	f17r.6	3	cho	REGION	20	recorded
f17r.4-f17r.6	f17r.6:4	f17r.6	4	qokcheor	OPEN	21	recorded
f17r.4-f17r.6	f17r.6:5	f17r.6	5	cheteg	OPEN	22	recorded
f21r.8-f21r.12	f21r.8:1	f21r.8	1	fcho	OPEN	0	recorded
f21r.8-f21r.12	f21r.8:2	f21r.8	2	kshy	OPEN	1	recorded
f21r.8-f21r.12	f21r.8:3	f21r.8	3	otor	MATERIAL	2	recorded
f21r.8-f21r.12	f21r.8:4	f21r.8	4	sheol	MATERIAL	3	recorded
f21r.8-f21r.12	f21r.8:5	f21r.8	5	ocphal	OPEN	4	recorded
f21r.8-f21r.12	f21r.8:6	f21r.8	6	opsheas	OPEN	5	recorded
f21r.8-f21r.12	f21r.8:7	f21r.8	7	cthodaiin	OPEN	6	recorded
