edition	paragraph	at	word	argument	linked_harm	status
ZL3b	f104v|f104v.1-f104v.5	ZL3b|f104v.3|G003	qotaiin	odaiin		HARM
ZL3b	f21r|f21r.8-f21r.12	ZL3b|f21r.10|G005	qotaiin	qotchol		HARM
ZL3b	f21r|f21r.8-f21r.12	ZL3b|f21r.11|G007	shey	yteol		HARM
ZL3b	f29v|f29v.1-f29v.4	ZL3b|f29v.3|G004	shey	odaiin		HARM
ZL3b	f29v|f29v.1-f29v.4	ZL3b|f29v.3|G006	qotchy	taiin	ZL3b|f29v.3|G004	LINKED
ZL3b	f32v|f32v.7-f32v.11	ZL3b|f32v.8|G006	qotaiin	otchy		HARM
ZL3b	f32v|f32v.7-f32v.11	ZL3b|f32v.9|G001	qotchy	cfhy	ZL3b|f32v.8|G006	LINKED
ZL3b	f44r|f44r.5-f44r.7	ZL3b|f44r.6|G007	qotchy	otchy		MISSING_PRIOR_HARM
IT2a	f104v|f104v.1-f104v.5	IT2a|f104v.3|G003	qotaiin	odaiin		HARM
IT2a	f21r|f21r.8-f21r.12	IT2a|f21r.10|G005	qotaiin	qotchol		HARM
IT2a	f21r|f21r.8-f21r.12	IT2a|f21r.11|G007	shey	yteol		HARM
IT2a	f29v|f29v.1-f29v.4	IT2a|f29v.3|G004	shey	odaiin		HARM
IT2a	f29v|f29v.1-f29v.4	IT2a|f29v.3|G006	qotchy	taiin	IT2a|f29v.3|G004	LINKED
IT2a	f32v|f32v.7-f32v.11	IT2a|f32v.8|G006	qotaiin	otchy		HARM
IT2a	f32v|f32v.7-f32v.11	IT2a|f32v.9|G001	qotchy	cfhy	IT2a|f32v.8|G006	LINKED
IT2a	f44r|f44r.5-f44r.7	IT2a|f44r.6|G006	qotchy	otchy		MISSING_PRIOR_HARM
